Exame,Case,Class,ImageCheckSum,ImagePathName,ImageShapeR,ImageShapeC,ImageShapeChannels,ObjectsBoundingBoxMinimumR,ObjectsBoundingBoxMinimumC,ObjectsBoundingBoxMaximumR,ObjectsBoundingBoxMaximumC,ObjectsCategory
1,64,1,eea3bfd6a929bcb06f9786667cd3fbb2,/images/41be1bd3-0d31-4881-bf1f-3ccdfa21ff12.jpg,1383,1944,3,445,589,611,769,trophozoite
1,54,0,eea3bfd6a929bcb06f9786667cd3fbb2,/images/41be1bd3-0d31-4881-bf1f-3ccdfa21ff12.jpg,1383,1944,3,680,219,797,383,red blood cell
2,54,1,2d85fc8ffdb875bb569878243437e4f5,/images/64985a1e-16bb-4016-a01c-c21a5b86e572.jpg,1383,1944,3,591,499,744,669,ring
2,55,1,2d85fc8ffdb875bb569878243437e4f5,/images/64985a1e-16bb-4016-a01c-c21a5b86e572.jpg,1383,1944,3,1026,299,1184,465,ring
2,56,1,2d85fc8ffdb875bb569878243437e4f5,/images/64985a1e-16bb-4016-a01c-c21a5b86e572.jpg,1383,1944,3,180,489,313,668,ring
2,7,0,2d85fc8ffdb875bb569878243437e4f5,/images/64985a1e-16bb-4016-a01c-c21a5b86e572.jpg,1383,1944,3,333,1264,460,1401,red blood cell
2,34,0,2d85fc8ffdb875bb569878243437e4f5,/images/64985a1e-16bb-4016-a01c-c21a5b86e572.jpg,1383,1944,3,248,85,377,232,red blood cell
2,49,0,2d85fc8ffdb875bb569878243437e4f5,/images/64985a1e-16bb-4016-a01c-c21a5b86e572.jpg,1383,1944,3,830,922,955,1076,red blood cell
3,72,1,f7c02b6247f3ccfcd4a22c1f06e0c72c,/images/c70894fa-50e8-4eed-a5a8-159a20153a49.jpg,1383,1944,3,821,255,972,418,ring
3,73,1,f7c02b6247f3ccfcd4a22c1f06e0c72c,/images/c70894fa-50e8-4eed-a5a8-159a20153a49.jpg,1383,1944,3,127,680,319,824,trophozoite
3,74,1,f7c02b6247f3ccfcd4a22c1f06e0c72c,/images/c70894fa-50e8-4eed-a5a8-159a20153a49.jpg,1383,1944,3,378,88,590,249,trophozoite
3,77,0,f7c02b6247f3ccfcd4a22c1f06e0c72c,/images/c70894fa-50e8-4eed-a5a8-159a20153a49.jpg,1383,1944,3,596,203,727,309,red blood cell
3,76,0,f7c02b6247f3ccfcd4a22c1f06e0c72c,/images/c70894fa-50e8-4eed-a5a8-159a20153a49.jpg,1383,1944,3,494,1023,662,1178,red blood cell
3,12,0,f7c02b6247f3ccfcd4a22c1f06e0c72c,/images/c70894fa-50e8-4eed-a5a8-159a20153a49.jpg,1383,1944,3,783,403,926,554,red blood cell
4,47,1,50634ef166ae993b4562b96f315ff6db,/images/abb72ce2-4193-4dd3-a34c-61c2ee22ccff.jpg,1383,1944,3,760,553,867,721,schizont
4,37,0,50634ef166ae993b4562b96f315ff6db,/images/abb72ce2-4193-4dd3-a34c-61c2ee22ccff.jpg,1383,1944,3,615,807,714,932,red blood cell
5,40,1,74dd777a74e5a4b24aaee574a99e1459,/images/8db76867-671a-4488-a7b6-991e4dd2e05f.jpg,1383,1944,3,223,807,342,916,ring
5,49,1,74dd777a74e5a4b24aaee574a99e1459,/images/8db76867-671a-4488-a7b6-991e4dd2e05f.jpg,1383,1944,3,962,1522,1108,1681,ring
5,21,0,74dd777a74e5a4b24aaee574a99e1459,/images/8db76867-671a-4488-a7b6-991e4dd2e05f.jpg,1383,1944,3,1213,1102,1341,1244,red blood cell
5,45,0,74dd777a74e5a4b24aaee574a99e1459,/images/8db76867-671a-4488-a7b6-991e4dd2e05f.jpg,1383,1944,3,319,51,409,137,red blood cell
6,59,1,0309b4eeafbe95fbd799e8cb8f046c09,/images/ebc4056e-d766-43cf-b6b4-5dac79d96e84.jpg,1383,1944,3,118,723,268,905,difficult
6,41,0,0309b4eeafbe95fbd799e8cb8f046c09,/images/ebc4056e-d766-43cf-b6b4-5dac79d96e84.jpg,1383,1944,3,232,537,348,636,red blood cell
