folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
1,ResNet101,128,0.3,0.3,32,14,0.9061488509178162,0.90598464012146,0.9063511490821838,0.9048386812210083,0.9050708413124084,0.905194103717804,0.8100956082344055,0.965857207775116,4481.0,4479.0,465.0,463.0,463.04091453552246,0.9268091917037964,0.9267489910125732,0.9259868264198303,0.9268091917037964,0.9263783693313599,0.9260366559028625,0.8528077006340027,0.9688165783882141,1126.0,1127.0,89.0,90.0,2.9950644969940186
2,ResNet101,128,0.3,0.3,32,18,0.9111782312393188,0.9111961126327515,0.9113796353340149,0.9094952344894409,0.9096110463142395,0.9096836447715759,0.8192130923271179,0.9688099026679993,4525.0,4524.0,441.0,440.0,566.2105383872986,0.9210526347160339,0.922569990158081,0.9210526347160339,0.9226973652839661,0.9218096733093262,0.9212021827697754,0.8437716960906982,0.9729484915733337,1120.0,1122.0,94.0,96.0,3.537637233734131
3,ResNet101,128,0.3,0.3,32,21,0.9284706711769104,0.9291037321090698,0.929478108882904,0.9256143569946289,0.9258249998092651,0.9260320663452148,0.8516708016395569,0.9784369468688965,4613.0,4611.0,352.0,350.0,650.7402210235596,0.90625,0.90625,0.90625,0.90625,0.9062498807907104,0.90625,0.8125,0.9630299210548401,1102.0,1102.0,114.0,114.0,3.142758369445801
4,ResNet101,128,0.3,0.3,32,6,0.8956789970397949,0.8960049152374268,0.8952674865722656,0.8959997296333313,0.895545244216919,0.8952867388725281,0.7912032604217529,0.9606539011001587,4351.0,4355.0,505.0,509.0,290.2399833202362,0.9245426654815674,0.9258976578712463,0.9237805008888245,0.926067054271698,0.9247840046882629,0.9241023063659668,0.8498963117599487,0.9736299514770508,1212.0,1215.0,97.0,100.0,3.190931558609009
5,ResNet101,128,0.3,0.3,32,12,0.9188265800476074,0.919380784034729,0.9188265800476074,0.9194947481155396,0.9191691279411316,0.9189627170562744,0.8384106755256653,0.9745034575462341,4573.0,4576.0,401.0,404.0,433.37846541404724,0.9197635054588318,0.9182124733924866,0.9197635054588318,0.9180743098258972,0.9189707636833191,0.9196817278862,0.8378609418869019,0.9668664336204529,1089.0,1087.0,97.0,95.0,3.0746850967407227
6,ResNet101,128,0.3,0.3,32,12,0.910674512386322,0.9105806350708008,0.9116872549057007,0.9108871221542358,0.911562442779541,0.9119822978973389,0.8230137825012207,0.9684873223304749,4501.0,4495.0,442.0,436.0,434.5603573322296,0.9158653616905212,0.9158653616905212,0.9158653616905212,0.9158653616905212,0.9158653616905212,0.9158653616905212,0.8317307829856873,0.9709900617599487,1143.0,1143.0,105.0,105.0,3.0263161659240723
7,ResNet101,128,0.3,0.3,32,13,0.9250556826591492,0.9246506094932556,0.9246506094932556,0.9244847297668457,0.9244868159294128,0.9244934320449829,0.8489844799041748,0.9740749001502991,4565.0,4565.0,372.0,372.0,450.23899364471436,0.8966346383094788,0.8965517282485962,0.8958333134651184,0.8966346383094788,0.896087646484375,0.8961247205734253,0.7924714684486389,0.9606016278266907,1118.0,1119.0,129.0,130.0,3.225797414779663
8,ResNet101,128,0.3,0.3,32,14,0.9081466197967529,0.9094985723495483,0.9087576270103455,0.9091198444366455,0.9087018370628357,0.9083733558654785,0.8174744844436646,0.9682781100273132,4462.0,4466.0,444.0,448.0,472.30231499671936,0.9156249761581421,0.9156249761581421,0.9156249761581421,0.9156249761581421,0.9156249761581421,0.9156249761581421,0.831250011920929,0.9682965278625488,1172.0,1172.0,108.0,108.0,3.283526659011841
9,ResNet101,128,0.3,0.3,32,11,0.913365364074707,0.9135481119155884,0.913365364074707,0.9131501913070679,0.9130316972732544,0.9130124449729919,0.8261285424232483,0.9694758653640747,4565.0,4566.0,432.0,433.0,406.1999888420105,0.9138513803482056,0.9168787002563477,0.9130067825317383,0.9172297120094299,0.9147063493728638,0.9138648509979248,0.830292284488678,0.9706727266311646,1081.0,1086.0,98.0,103.0,2.945106267929077
10,ResNet101,128,0.3,0.3,32,14,0.9055054783821106,0.905343234539032,0.9057056903839111,0.9058519005775452,0.9060619473457336,0.9062445759773254,0.8121211528778076,0.9654877185821533,4524.0,4522.0,473.0,471.0,479.0595841407776,0.9206081032752991,0.920540988445282,0.9197635054588318,0.9206081032752991,0.9201521873474121,0.9198402166366577,0.8403827548027039,0.9764134883880615,1089.0,1090.0,94.0,95.0,3.0004022121429443
