folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
1,EfficientNetB4,128,0.3,0.3,32,16,0.9172734618186951,0.9159765839576721,0.9172734618186951,0.9155241847038269,0.9162825345993042,0.9169198274612427,0.8325600028038025,0.977629542350769,4535.0,4528.0,416.0,409.0,471.610906124115,0.9490131735801697,0.9489712119102478,0.9481908082962036,0.9490131735801697,0.9485693573951721,0.948265552520752,0.8972147703170776,0.986481249332428,1153.0,1154.0,62.0,63.0,4.167355298995972
2,EfficientNetB4,128,0.3,0.3,32,13,0.9021148085594177,0.9024193286895752,0.9015105962753296,0.9030448794364929,0.9025247097015381,0.9022576808929443,0.8052955269813538,0.9709985256195068,4476.0,4481.0,484.0,489.0,406.5000305175781,0.9391447305679321,0.9383730292320251,0.9391447305679321,0.9383223652839661,0.9387651681900024,0.9390917420387268,0.8774779438972473,0.9833818674087524,1142.0,1141.0,75.0,74.0,3.9320931434631348
3,EfficientNetB4,128,0.3,0.3,32,11,0.9238364100456238,0.9234025478363037,0.923030436038971,0.9219418168067932,0.921743631362915,0.9216119050979614,0.8435667753219604,0.9794414639472961,4581.0,4583.0,380.0,382.0,364.93806886672974,0.9284539222717285,0.9285714030265808,0.9300987124443054,0.9284539222717285,0.9293381571769714,0.9300126433372498,0.8585944175720215,0.9736321568489075,1131.0,1129.0,87.0,85.0,4.052675247192383
4,EfficientNetB4,128,0.3,0.3,32,2,0.8156378865242004,0.8144032955169678,0.8144032955169678,0.8144677877426147,0.8145256042480469,0.8145672082901001,0.629295289516449,0.9158570766448975,3958.0,3958.0,902.0,902.0,175.98011541366577,0.8536585569381714,0.8515151739120483,0.8567073345184326,0.8506097793579102,0.8539313077926636,0.8562766313552856,0.7074555158615112,0.9359619617462158,1124.0,1116.0,196.0,188.0,4.010410785675049
5,EfficientNetB4,128,0.3,0.3,32,3,0.82077556848526,0.821945309638977,0.8217802047729492,0.8218090534210205,0.8217909336090088,0.8217546343803406,0.6438508033752441,0.9229699969291687,4090.0,4091.0,886.0,887.0,199.21197319030762,0.9189189076423645,0.9211864471435547,0.9180743098258972,0.9214527010917664,0.9194679260253906,0.9187124967575073,0.8395856022834778,0.9716553688049316,1087.0,1091.0,93.0,97.0,3.9011073112487793
6,EfficientNetB4,128,0.3,0.3,32,13,0.9080412983894348,0.9087414145469666,0.9096617102622986,0.9080420732498169,0.908553957939148,0.9091521501541138,0.8172216415405273,0.9748348593711853,4491.0,4486.0,451.0,446.0,405.1519947052002,0.932692289352417,0.9305111765861511,0.9334936141967773,0.9302884340286255,0.9321005344390869,0.9331058859825134,0.8638188242912292,0.9839832782745361,1165.0,1161.0,87.0,83.0,3.32261061668396
7,EfficientNetB4,128,0.3,0.3,32,14,0.9345756769180298,0.934412956237793,0.9349807500839233,0.9346774220466614,0.9349648952484131,0.9353757500648499,0.8700297474861145,0.9847601652145386,4616.0,4613.0,324.0,321.0,422.04475712776184,0.9278846383094788,0.9262820482254028,0.9262820482254028,0.9262820482254028,0.9264160394668579,0.9260415434837341,0.8525993227958679,0.9770556688308716,1156.0,1156.0,92.0,92.0,3.4678072929382324
8,EfficientNetB4,128,0.3,0.3,32,11,0.9164969325065613,0.9162591695785522,0.9158859252929688,0.9165990352630615,0.916384220123291,0.9162980914115906,0.8328841328620911,0.9762371182441711,4497.0,4499.0,411.0,413.0,359.4415843486786,0.9296875,0.9318715929985046,0.9296875,0.9320312738418579,0.9306547045707703,0.9301136136054993,0.8617427945137024,0.9820071458816528,1190.0,1193.0,87.0,90.0,3.327805519104004
9,EfficientNetB4,128,0.3,0.3,32,19,0.9099639654159546,0.9099279642105103,0.9095638394355774,0.9095674753189087,0.9093363285064697,0.9093403220176697,0.8188576698303223,0.9725991487503052,4546.0,4548.0,450.0,452.0,530.0221359729767,0.9408783912658691,0.9400843977928162,0.9408783912658691,0.9400337934494019,0.9404885768890381,0.9408239126205444,0.8809232711791992,0.9854560494422913,1114.0,1113.0,71.0,70.0,3.898589611053467
10,EfficientNetB4,128,0.3,0.3,32,20,0.9151151180267334,0.9136791229248047,0.9133133292198181,0.9122875928878784,0.9120364785194397,0.9121274352073669,0.8243303298950195,0.9766870141029358,4562.0,4564.0,431.0,433.0,697.0714108943939,0.9484797120094299,0.9500846266746521,0.9484797120094299,0.9501689076423645,0.9492164850234985,0.9487339854240417,0.8986923694610596,0.9889625906944275,1123.0,1125.0,59.0,61.0,5.038341999053955
11,EfficientNetB4,128,0.3,0.3,32,13,0.9210418462753296,0.9183882474899292,0.9208367466926575,0.9178240299224854,0.9192628264427185,0.920389711856842,0.8384515047073364,0.9776833653450012,4490.0,4477.0,399.0,386.0,757.4792964458466,0.9443597793579102,0.9450801014900208,0.9443597793579102,0.9451219439506531,0.9447336792945862,0.944452166557312,0.8895604014396667,0.9840822815895081,1239.0,1240.0,72.0,73.0,7.009756326675415
12,EfficientNetB4,128,0.3,0.3,32,13,0.9248883724212646,0.9249035716056824,0.9250913262367249,0.9249053597450256,0.9250039458274841,0.9251459240913391,0.8500656485557556,0.982123851776123,4557.0,4556.0,370.0,369.0,781.0071964263916,0.9551281929016113,0.9551281929016113,0.9551281929016113,0.9551281929016113,0.9551281929016113,0.9551281929016113,0.9102563858032227,0.9849839210510254,1192.0,1192.0,56.0,56.0,3.8831515312194824
13,EfficientNetB4,128,0.3,0.3,32,12,0.9261581897735596,0.9257686138153076,0.9259558916091919,0.9255511164665222,0.9256830811500549,0.9257709980010986,0.8513940572738647,0.981507420539856,4577.0,4576.0,367.0,366.0,585.0645468235016,0.9498355388641357,0.9498355388641357,0.9498355388641357,0.9498355388641357,0.9498355388641357,0.9498355388641357,0.8996710777282715,0.9892727732658386,1155.0,1155.0,61.0,61.0,6.513952970504761
14,EfficientNetB4,128,0.3,0.3,32,12,0.9209367632865906,0.9212898015975952,0.9207366108894348,0.9217754602432251,0.9214568734169006,0.9212658405303955,0.8430073857307434,0.9778347015380859,4600.0,4603.0,393.0,396.0,763.6667473316193,0.9332770109176636,0.933220624923706,0.9324324131011963,0.9332770109176636,0.9328441023826599,0.9324687123298645,0.8657329678535461,0.9853758215904236,1104.0,1105.0,79.0,80.0,6.931651592254639
