folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
1,VGG16,128,0.3,0.3,32,15,0.9674353003501892,0.9676506519317627,0.9680420756340027,0.9675403237342834,0.9677605628967285,0.9679171442985535,0.9354950785636902,0.9937293529510498,4786.0,4784.0,160.0,158.0,301.9570348262787,0.9629934430122375,0.9629934430122375,0.9629934430122375,0.9629934430122375,0.9629934430122375,0.9629934430122375,0.9259868264198303,0.9929705858230591,1171.0,1171.0,45.0,45.0,3.0116777420043945
2,VGG16,128,0.3,0.3,32,11,0.9707955718040466,0.9707955718040466,0.9707955718040466,0.9709535241127014,0.9709503054618835,0.9709656834602356,0.9419129490852356,0.9943240284919739,4820.0,4820.0,145.0,145.0,244.38777589797974,0.9703947305679321,0.9703947305679321,0.9703947305679321,0.9703947305679321,0.9703947305679321,0.9703947305679321,0.9407894611358643,0.9903954267501831,1180.0,1180.0,36.0,36.0,1.99884033203125
3,VGG16,128,0.3,0.3,32,1,0.9329034686088562,0.9327426552772522,0.9333064556121826,0.9330929517745972,0.9334961175918579,0.9335188269615173,0.8668350577354431,0.977791965007782,4632.0,4629.0,334.0,331.0,101.99795413017273,0.9358552694320679,0.9420654773712158,0.9226973652839661,0.9432565569877625,0.9319581389427185,0.9251182079315186,0.8664833903312683,0.9744210243225098,1122.0,1147.0,69.0,94.0,2.091665029525757
4,VGG16,128,0.3,0.3,32,0,0.9081003069877625,0.8995396494865417,0.8998355269432068,0.9070723652839661,0.9074019193649292,0.9074045419692993,0.8148022294044495,0.9517622590065002,5471.0,5469.0,611.0,609.0,88.10735964775085,0.9405487775802612,0.9339339137077332,0.9481707215309143,0.9329268336296082,0.941106915473938,0.9473198652267456,0.8813763856887817,0.9801971316337585,1244.0,1224.0,88.0,68.0,2.571711778640747
5,VGG16,128,0.3,0.3,32,10,0.9700623154640198,0.9700742959976196,0.9704641103744507,0.969975471496582,0.9701817035675049,0.9703749418258667,0.940362811088562,0.9937150478363037,4830.0,4828.0,149.0,147.0,230.60147285461426,0.9527027010917664,0.9527027010917664,0.9527027010917664,0.9527027010917664,0.9527027010917664,0.9527027010917664,0.9054054021835327,0.9823316335678101,1128.0,1128.0,56.0,56.0,2.9382097721099854
6,VGG16,128,0.3,0.3,32,3,0.9246506094932556,0.9248683452606201,0.9250556826591492,0.9246863722801208,0.9247877597808838,0.9248970150947571,0.849586546421051,0.9722642302513123,4567.0,4566.0,371.0,370.0,129.28264260292053,0.9447115659713745,0.9447115659713745,0.9447115659713745,0.9447115659713745,0.9447115659713745,0.9447115659713745,0.8894230723381042,0.9851393699645996,1179.0,1179.0,69.0,69.0,1.2775492668151855
7,VGG16,128,0.3,0.3,32,2,0.9386267066001892,0.9389947056770325,0.9384241700172424,0.9393145442008972,0.9389845132827759,0.9387756586074829,0.8780369162559509,0.9817607998847961,4633.0,4636.0,301.0,304.0,114.34768199920654,0.8333333134651184,0.8394649028778076,0.8044871687889099,0.8461538553237915,0.8208231925964355,0.8137829899787903,0.6513136625289917,0.9060002565383911,1004.0,1056.0,192.0,244.0,1.2679433822631836
8,VGG16,128,0.3,0.3,32,18,0.9668024182319641,0.9670060873031616,0.9670060873031616,0.9668657183647156,0.9668622612953186,0.9668837785720825,0.9337431788444519,0.9943275451660156,4748.0,4748.0,162.0,162.0,341.61237263679504,0.969531238079071,0.969531238079071,0.969531238079071,0.969531238079071,0.969531238079071,0.969531238079071,0.9390624761581421,0.9942709803581238,1241.0,1241.0,39.0,39.0,1.2913260459899902
9,VGG16,128,0.3,0.3,32,1,0.9227691292762756,0.9229691624641418,0.9229691624641418,0.9233678579330444,0.9229048490524292,0.9226300716400146,0.8459557294845581,0.974147617816925,4613.0,4613.0,385.0,385.0,102.87457251548767,0.9020270109176636,0.8662519454956055,0.9408783912658691,0.8547297120094299,0.903237521648407,0.9338698387145996,0.7996205687522888,0.9614543318748474,1114.0,1012.0,172.0,70.0,2.006143093109131
10,VGG16,128,0.3,0.3,32,4,0.9475475549697876,0.9479583501815796,0.9481481313705444,0.9444001913070679,0.9445186257362366,0.9446007013320923,0.8890411853790283,0.9853739142417908,4736.0,4735.0,260.0,259.0,143.82323956489563,0.9543918967247009,0.9536647200584412,0.9560810923576355,0.9535472989082336,0.955054521560669,0.9556178450584412,0.9096527099609375,0.9911728501319885,1132.0,1129.0,55.0,52.0,1.2110984325408936
11,VGG16,128,0.3,0.3,32,18,0.9794914126396179,0.9794829487800598,0.9790812134742737,0.9795751571655273,0.9793611168861389,0.9791975617408752,0.9587538242340088,0.9975059032440186,4774.0,4776.0,100.0,102.0,340.87302231788635,0.9733231663703918,0.9733434915542603,0.9740853905677795,0.9733231663703918,0.9737101197242737,0.9740853905677795,0.947420060634613,0.994054913520813,1278.0,1277.0,35.0,34.0,1.9306819438934326
