folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
1,MobileNetV2,128,0.3,0.3,32,13,0.9969660043716431,0.9975713491439819,0.9969660043716431,0.9975806474685669,0.9972733855247498,0.996994137763977,0.9945656061172485,0.9999487996101379,4929.0,4932.0,12.0,15.0,103.27823281288147,0.9720394611358643,0.971240758895874,0.9720394611358643,0.9712170958518982,0.9716470837593079,0.9720378518104553,0.9432930946350098,0.98681640625,1182.0,1181.0,35.0,34.0,1.2311625480651855
2,MobileNetV2,128,0.3,0.3,32,7,0.9798589944839478,0.9792839884757996,0.9806646704673767,0.9793669581413269,0.9800938367843628,0.9807664752006531,0.9601860046386719,0.9984473586082458,4869.0,4862.0,103.0,96.0,70.17582249641418,0.9564144611358643,0.9579554796218872,0.9555920958518982,0.9580591917037964,0.9567537903785706,0.9557665586471558,0.9136854410171509,0.9747090339660645,1162.0,1165.0,51.0,54.0,1.0139374732971191
3,MobileNetV2,128,0.3,0.3,32,12,0.986500084400177,0.9866962432861328,0.9862986207008362,0.9867788553237915,0.9865931272506714,0.9863801598548889,0.973190188407898,0.9985876679420471,4895.0,4897.0,66.0,68.0,96.13703322410583,0.9506579041481018,0.9514003396034241,0.9498355388641357,0.9514802694320679,0.9506056904792786,0.9499601125717163,0.9013382792472839,0.9760271906852722,1155.0,1157.0,59.0,61.0,1.0181350708007812
4,MobileNetV2,128,0.3,0.3,32,31,0.998971164226532,0.9989707469940186,0.9985596537590027,0.9989720582962036,0.9987598061561584,0.998585045337677,0.9975449442863464,0.9999945759773254,4853.0,4855.0,5.0,7.0,188.71516752243042,0.9756097793579102,0.9756097793579102,0.9756097793579102,0.9756097793579102,0.9756439924240112,0.9755561351776123,0.9512373805046082,0.9903392791748047,1280.0,1280.0,32.0,32.0,1.0746991634368896
5,MobileNetV2,128,0.3,0.3,32,20,0.998794436454773,0.998794436454773,0.998794436454773,0.9987980723381042,0.9987980723381042,0.9988041520118713,0.9976022243499756,0.9999885559082031,4971.0,4971.0,6.0,6.0,135.55023789405823,0.9603040814399719,0.9602369070053101,0.9586148858070374,0.9603040814399719,0.9594326615333557,0.9586915969848633,0.9189436435699463,0.980717122554779,1135.0,1137.0,47.0,49.0,1.0492446422576904
6,MobileNetV2,128,0.3,0.3,32,10,0.9854162335395813,0.9860153794288635,0.9854162335395813,0.9855734705924988,0.985262393951416,0.9850346446037292,0.9705925583839417,0.9988175630569458,4865.0,4868.0,69.0,72.0,85.28986835479736,0.9751602411270142,0.9759229421615601,0.9743589758872986,0.9759615659713745,0.9750204086303711,0.9746503829956055,0.9503369331359863,0.9902596473693848,1216.0,1218.0,30.0,32.0,0.8199625015258789
7,MobileNetV2,128,0.3,0.3,32,19,0.9975693821907043,0.9975698590278625,0.9977719187736511,0.9975806474685669,0.9976796507835388,0.9978066682815552,0.9953840970993042,0.9999850988388062,4926.0,4925.0,12.0,11.0,131.37323117256165,0.9551281929016113,0.9543634653091431,0.9551281929016113,0.9543269276618958,0.9547337293624878,0.9551281929016113,0.9094672799110413,0.9744818210601807,1192.0,1191.0,57.0,56.0,0.7997658252716064
8,MobileNetV2,128,0.3,0.3,32,20,0.9979633688926697,0.9979629516601562,0.9977596998214722,0.9979707598686218,0.9978676438331604,0.9977801442146301,0.9957478642463684,0.9999668002128601,4899.0,4900.0,10.0,11.0,136.51320552825928,0.9820312261581421,0.9797350168228149,0.9820312261581421,0.979687511920929,0.9810817837715149,0.9816028475761414,0.9617412686347961,0.9930285215377808,1257.0,1254.0,26.0,23.0,1.1817469596862793
9,MobileNetV2,128,0.3,0.3,32,0,0.9265525341033936,0.9339802861213684,0.9313134551048279,0.9235668778419495,0.9212963581085205,0.9212731122970581,0.8440277576446533,0.9814313650131226,5871.0,5889.0,415.0,433.0,35.27518844604492,0.9054054021835327,0.8925348520278931,0.9189189076423645,0.8893581032752991,0.9063712358474731,0.9147929549217224,0.8088028430938721,0.9696816802024841,1088.0,1053.0,131.0,96.0,1.0625739097595215
10,MobileNetV2,128,0.3,0.3,32,3,0.9645645618438721,0.963942289352417,0.9633633494377136,0.962247908115387,0.961962878704071,0.9617362022399902,0.924018144607544,0.9940566420555115,4812.0,4815.0,180.0,183.0,50.43519401550293,0.8826013803482056,0.8830950260162354,0.8868243098258972,0.8826013803482056,0.8850590586662292,0.8861459493637085,0.7695260047912598,0.9452084302902222,1050.0,1045.0,139.0,134.0,0.8001482486724854
