folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
1,VGG19,128,0.3,0.3,32,0,0.8909274339675903,0.8990541696548462,0.8972981572151184,0.8909274339675903,0.8894259333610535,0.8892607688903809,0.7796914577484131,0.9558232426643372,5513.0,5525.0,619.0,631.0,107.24418449401855,0.9292762875556946,0.9194198250770569,0.9383223652839661,0.9177631735801697,0.9291081428527832,0.9365671277046204,0.85650235414505,0.9696406126022339,1141.0,1116.0,100.0,75.0,3.4106380939483643
2,VGG19,128,0.3,0.3,32,17,0.9671701788902283,0.967365026473999,0.9671701788902283,0.9675480723381042,0.9674462676048279,0.9673538208007812,0.934898853302002,0.9928247332572937,4802.0,4803.0,162.0,163.0,390.5200057029724,0.9646381735801697,0.9638455510139465,0.9646381735801697,0.9638158082962036,0.9644357562065125,0.9642137289047241,0.9284535646438599,0.991180956363678,1173.0,1172.0,44.0,43.0,2.539050817489624
3,VGG19,128,0.3,0.3,32,3,0.9500302076339722,0.9492651224136353,0.9500302076339722,0.9495192170143127,0.9499444365501404,0.9502874612808228,0.8998563885688782,0.9847863912582397,4715.0,4711.0,252.0,248.0,153.53999948501587,0.9416118264198303,0.9444904923439026,0.9375,0.9449012875556946,0.9404180645942688,0.9390977621078491,0.8824723958969116,0.9812644124031067,1140.0,1149.0,67.0,76.0,2.612682342529297
4,VGG19,128,0.3,0.3,32,4,0.9467078447341919,0.9463294148445129,0.9469135999679565,0.9463111758232117,0.9466428160667419,0.9469056129455566,0.8932645916938782,0.9846466779708862,4602.0,4599.0,261.0,258.0,169.18487334251404,0.9634146094322205,0.9641221165657043,0.9626524448394775,0.9641768336296082,0.9633662700653076,0.9627678990364075,0.9268500804901123,0.9901854991912842,1263.0,1265.0,47.0,49.0,2.984952449798584
5,VGG19,128,0.3,0.3,32,33,0.9559975862503052,0.9560064077377319,0.956198513507843,0.955953061580658,0.9560545086860657,0.9561586380004883,0.9121147394180298,0.9896073341369629,4759.0,4758.0,219.0,218.0,655.3491899967194,0.9442567825317383,0.944209635257721,0.943412184715271,0.9442567825317383,0.9438009262084961,0.9434889554977417,0.8876800537109375,0.9843668937683105,1117.0,1118.0,66.0,67.0,3.3702399730682373
6,VGG19,128,0.3,0.3,32,9,0.9659712314605713,0.9659919142723083,0.9665789008140564,0.9661290049552917,0.966454803943634,0.9666948914527893,0.9328708648681641,0.9929338097572327,4772.0,4769.0,168.0,165.0,252.39493608474731,0.973557710647583,0.973557710647583,0.973557710647583,0.973557710647583,0.973557710647583,0.973557710647583,0.9471153616905212,0.9939358830451965,1215.0,1215.0,33.0,33.0,1.5235495567321777
7,VGG19,128,0.3,0.3,32,17,0.9846060276031494,0.9846122860908508,0.9850111603736877,0.9846774339675903,0.9848881959915161,0.9850737452507019,0.9697698950767517,0.9985104203224182,4863.0,4861.0,76.0,74.0,387.34973096847534,0.9543269276618958,0.95356285572052,0.9543269276618958,0.9535256624221802,0.953969419002533,0.954249382019043,0.9078623652458191,0.9839946627616882,1191.0,1190.0,58.0,57.0,1.5256266593933105
8,VGG19,128,0.3,0.3,32,12,0.9755600690841675,0.97535640001297,0.97535640001297,0.9754464030265808,0.9754428863525391,0.9754640460014343,0.950904130935669,0.9954718947410583,4789.0,4789.0,121.0,121.0,302.43344616889954,0.975781261920929,0.975781261920929,0.975781261920929,0.975781261920929,0.975781261920929,0.975781261920929,0.9515625238418579,0.9948990345001221,1249.0,1249.0,31.0,31.0,1.5437681674957275
9,VGG19,128,0.3,0.3,32,13,0.9797919392585754,0.9798080921173096,0.9805922508239746,0.9798964858055115,0.9803038239479065,0.9806862473487854,0.9606010317802429,0.9968749284744263,4901.0,4897.0,101.0,97.0,322.8447208404541,0.9780405163764954,0.9780405163764954,0.9780405163764954,0.9780405163764954,0.9780405163764954,0.9780405163764954,0.9560810923576355,0.9974066615104675,1158.0,1158.0,26.0,26.0,2.2587499618530273
10,VGG19,128,0.3,0.3,32,8,0.9353353381156921,0.9353094100952148,0.9349349141120911,0.9337844252586365,0.9335623383522034,0.9334496259689331,0.8671907782554626,0.9757491946220398,4670.0,4672.0,323.0,325.0,236.56529259681702,0.9273648858070374,0.9268292784690857,0.9307432174682617,0.9265202879905701,0.9288591146469116,0.9303345680236816,0.8573150634765625,0.9834051728248596,1102.0,1097.0,87.0,82.0,1.4611518383026123
11,VGG19,128,0.3,0.3,32,10,0.9649302959442139,0.964923083782196,0.9647251963615417,0.9647331237792969,0.9646258354187012,0.9645470380783081,0.9292706251144409,0.9924659132957458,4704.0,4705.0,171.0,172.0,269.63071727752686,0.9740853905677795,0.9740656018257141,0.9733231663703918,0.9740853905677795,0.9736981987953186,0.9733462333679199,0.947420060634613,0.9920604228973389,1277.0,1278.0,34.0,35.0,2.169161558151245
12,VGG19,128,0.3,0.3,32,10,0.9782785177230835,0.9784815311431885,0.9784815311431885,0.9784767627716064,0.9784727096557617,0.9785181879997253,0.9569885730743408,0.9972646236419678,4820.0,4820.0,106.0,106.0,268.2879500389099,0.9695512652397156,0.9695756435394287,0.9703525900840759,0.9695512652397156,0.9699827432632446,0.9703009128570557,0.9399144053459167,0.9949201345443726,1211.0,1210.0,38.0,37.0,1.5358128547668457
13,VGG19,128,0.3,0.3,32,11,0.974307119846344,0.9745042324066162,0.974307119846344,0.9745967984199524,0.9744942784309387,0.9744073748588562,0.9490010738372803,0.9968554377555847,4816.0,4817.0,126.0,127.0,287.4510657787323,0.9761512875556946,0.9761512875556946,0.9761512875556946,0.9761512875556946,0.9761512875556946,0.9761512875556946,0.9523026347160339,0.9966520667076111,1187.0,1187.0,29.0,29.0,3.505831241607666
14,VGG19,128,0.3,0.3,32,13,0.9675740599632263,0.9673739075660706,0.9673739075660706,0.9675557613372803,0.9675462245941162,0.9675858616828918,0.9351229071617126,0.9928457140922546,4833.0,4833.0,163.0,163.0,321.9975514411926,0.9653716087341309,0.9653716087341309,0.9653716087341309,0.9653716087341309,0.9653716087341309,0.9653716087341309,0.9307432174682617,0.9929419159889221,1143.0,1143.0,41.0,41.0,2.540637254714966
15,VGG19,128,0.3,0.3,32,11,0.9701064825057983,0.9700942039489746,0.9696969985961914,0.9700571894645691,0.9698431491851807,0.9696733951568604,0.9397116303443909,0.9943366050720215,4736.0,4738.0,146.0,148.0,286.09582591056824,0.969531238079071,0.969531238079071,0.969531238079071,0.969531238079071,0.969531238079071,0.969531238079071,0.9390624761581421,0.9940042495727539,1241.0,1241.0,39.0,39.0,3.336740493774414
16,VGG19,128,0.3,0.3,32,7,0.965315580368042,0.9653435349464417,0.9661222100257874,0.9653225541114807,0.9657372236251831,0.9661564230918884,0.931503176689148,0.9922062158584595,4791.0,4787.0,172.0,168.0,220.03307962417603,0.9679276347160339,0.9679539799690247,0.96875,0.9679276347160339,0.9683451652526855,0.96875,0.936690092086792,0.9931545257568359,1178.0,1177.0,39.0,38.0,1.4975244998931885
17,VGG19,128,0.3,0.3,32,17,0.9871533513069153,0.9873572587966919,0.9873572587966919,0.9874188303947449,0.9874154329299927,0.9874372482299805,0.9748497605323792,0.9987481236457825,4842.0,4842.0,62.0,62.0,384.3886773586273,0.961718738079071,0.960906982421875,0.960156261920929,0.9609375,0.9606110453605652,0.9600462913513184,0.9211185574531555,0.9898996353149414,1229.0,1230.0,50.0,51.0,1.556570053100586
18,VGG19,128,0.3,0.3,32,15,0.9815260767936707,0.9805299043655396,0.9809237122535706,0.9802083969116211,0.9804176092147827,0.9806321263313293,0.960858941078186,0.9978727698326111,4885.0,4883.0,97.0,95.0,354.7104616165161,0.9679054021835327,0.9679054021835327,0.9679054021835327,0.9679054021835327,0.9679054021835327,0.9679054021835327,0.9358108043670654,0.9935303330421448,1146.0,1146.0,38.0,38.0,1.4775047302246094
19,VGG19,128,0.3,0.3,32,9,0.968612551689148,0.9686062932014465,0.9684126377105713,0.96875,0.9686455130577087,0.9685686230659485,0.9373093843460083,0.9938166737556458,4844.0,4845.0,157.0,158.0,254.4112241268158,0.9636824131011963,0.9637131094932556,0.9645270109176636,0.9636824131011963,0.9642671346664429,0.9642000794410706,0.9282123446464539,0.9926312565803528,1142.0,1141.0,43.0,42.0,1.720733404159546
20,VGG19,128,0.3,0.3,32,29,0.9710232019424438,0.9706469774246216,0.9714228510856628,0.9707404375076294,0.9711659550666809,0.9714973568916321,0.9422934055328369,0.9956598281860352,4861.0,4857.0,147.0,143.0,589.6871933937073,0.9560810923576355,0.9560810923576355,0.9560810923576355,0.9560810923576355,0.9560810923576355,0.9560810923576355,0.912162184715271,0.9916318655014038,1132.0,1132.0,52.0,52.0,1.4464614391326904
21,VGG19,128,0.3,0.3,32,15,0.9619009494781494,0.9619009494781494,0.9619009494781494,0.9619390964508057,0.9619390964508057,0.9619390964508057,0.9238781929016113,0.9924941062927246,4797.0,4797.0,190.0,190.0,355.5007824897766,0.9577702879905701,0.9577345848083496,0.9569256901741028,0.9577702879905701,0.9571803212165833,0.957258403301239,0.9146988391876221,0.9897000789642334,1133.0,1134.0,50.0,51.0,2.9601330757141113
22,VGG19,128,0.3,0.3,32,10,0.9698734879493713,0.9702512621879578,0.9694717526435852,0.9703525900840759,0.9699261784553528,0.9696171879768372,0.9399200677871704,0.9953358769416809,4827.0,4831.0,148.0,152.0,270.44793033599854,0.9805743098258972,0.980557918548584,0.9797297120094299,0.9805743098258972,0.9801453351974487,0.9797552824020386,0.9603168368339539,0.995959997177124,1160.0,1161.0,23.0,24.0,1.4738571643829346
23,VGG19,128,0.3,0.3,32,9,0.9616525173187256,0.9616525173187256,0.9616525173187256,0.9618710875511169,0.9618710875511169,0.9618710875511169,0.9237421154975891,0.9886835813522339,4865.0,4865.0,194.0,194.0,254.65892839431763,0.9446428418159485,0.9446428418159485,0.9446428418159485,0.9446428418159485,0.9446428418159485,0.9446428418159485,0.8892857432365417,0.9903929829597473,1058.0,1058.0,62.0,62.0,1.3906793594360352
24,VGG19,128,0.3,0.3,32,1,0.9276396036148071,0.9270876049995422,0.927843451499939,0.9269074201583862,0.9273467659950256,0.9276820421218872,0.8546589612960815,0.9760293364524841,4552.0,4548.0,358.0,354.0,117.63169550895691,0.9390624761581421,0.9334880113601685,0.9429687261581421,0.932812511920929,0.9383143186569214,0.9422782063484192,0.8759496808052063,0.9814040660858154,1207.0,1194.0,86.0,73.0,1.557680368423462
25,VGG19,128,0.3,0.3,32,15,0.9743177890777588,0.9743074774742126,0.9739165306091309,0.9743589758872986,0.9741554260253906,0.9739704728126526,0.9483233690261841,0.9965234994888306,4854.0,4856.0,128.0,130.0,354.98006796836853,0.9662162065505981,0.9662162065505981,0.9662162065505981,0.9662162065505981,0.9662162065505981,0.9662162065505981,0.9324324131011963,0.9920178055763245,1144.0,1144.0,40.0,40.0,3.0199406147003174
26,VGG19,128,0.3,0.3,32,6,0.9539579749107361,0.9535915851593018,0.9543618559837341,0.9535619020462036,0.9539929628372192,0.9543227553367615,0.9079408645629883,0.9896812438964844,4726.0,4722.0,230.0,226.0,201.44043684005737,0.9580591917037964,0.9602319598197937,0.953125,0.9605262875556946,0.9564127922058105,0.9540867209434509,0.9138127565383911,0.9903371930122375,1159.0,1168.0,48.0,57.0,1.5173149108886719
27,VGG19,128,0.3,0.3,32,10,0.9676008820533752,0.9674085974693298,0.9676008820533752,0.9668569564819336,0.9669477939605713,0.967078685760498,0.9339200854301453,0.9936978220939636,4868.0,4867.0,164.0,163.0,272.9869339466095,0.9574652910232544,0.9574283361434937,0.9565972089767456,0.9574652910232544,0.9569967985153198,0.956676185131073,0.9140739440917969,0.9881075620651245,1102.0,1103.0,49.0,50.0,1.4206597805023193
28,VGG19,128,0.3,0.3,32,11,0.9755853414535522,0.9763621687889099,0.9753852486610413,0.9765127301216125,0.9759975075721741,0.97557133436203,0.9520503878593445,0.9961948990821838,4874.0,4879.0,118.0,123.0,286.9530625343323,0.9670608043670654,0.9662446975708008,0.9670608043670654,0.9662162065505981,0.9666450023651123,0.9670608043670654,0.9332898259162903,0.9946891665458679,1145.0,1144.0,40.0,39.0,1.453765869140625
29,VGG19,128,0.3,0.3,32,2,0.9463855624198914,0.9461955428123474,0.9463855624198914,0.9460736513137817,0.9461749196052551,0.9462785124778748,0.8923553228378296,0.9858109951019287,4713.0,4712.0,268.0,267.0,135.51333355903625,0.9729729890823364,0.9721988439559937,0.974662184715271,0.9721283912658691,0.9735836386680603,0.9743078947067261,0.9468181729316711,0.9950183629989624,1154.0,1151.0,33.0,30.0,1.469085454940796
30,VGG19,128,0.3,0.3,32,3,0.957932710647583,0.957932710647583,0.957932710647583,0.957932710647583,0.9579384922981262,0.9579371809959412,0.915882408618927,0.9881395101547241,4782.0,4782.0,210.0,210.0,151.6449375152588,0.9646381735801697,0.9653465151786804,0.9621710777282715,0.9654605388641357,0.9634242057800293,0.9629685282707214,0.9276588559150696,0.9855269193649292,1170.0,1174.0,42.0,46.0,1.4914937019348145
31,VGG19,128,0.3,0.3,32,4,0.9544000029563904,0.954200029373169,0.954200029373169,0.9538216590881348,0.9538149237632751,0.9538446068763733,0.90765380859375,0.9854699373245239,4771.0,4771.0,229.0,229.0,169.86977171897888,0.9603040814399719,0.9603375792503357,0.9611486196517944,0.9603040814399719,0.9607328176498413,0.9611486196517944,0.9214655160903931,0.9890970587730408,1138.0,1137.0,47.0,46.0,1.4523005485534668
32,VGG19,128,0.3,0.3,32,6,0.9601849913597107,0.9601849913597107,0.9601849913597107,0.9600437879562378,0.9600467085838318,0.9600494503974915,0.9200994968414307,0.9874648451805115,4775.0,4775.0,198.0,198.0,204.03712844848633,0.9432565569877625,0.9432565569877625,0.9432565569877625,0.9432565569877625,0.9432565569877625,0.9432565569877625,0.8865131735801697,0.9842516183853149,1147.0,1147.0,69.0,69.0,1.9582853317260742
33,VGG19,128,0.3,0.3,32,8,0.9599918723106384,0.9598132967948914,0.9603980779647827,0.9597924947738647,0.9601108431816101,0.9603816270828247,0.9202022552490234,0.990140438079834,4729.0,4726.0,198.0,195.0,233.8539845943451,0.9663461446762085,0.9655724763870239,0.9663461446762085,0.9655448794364929,0.9659640192985535,0.9663203358650208,0.9319023489952087,0.9835326671600342,1206.0,1205.0,43.0,42.0,1.5403969287872314
34,VGG19,128,0.3,0.3,32,14,0.9837120175361633,0.9842995405197144,0.9833098649978638,0.9840822219848633,0.9835702180862427,0.9831170439720154,0.9671777486801147,0.9980935454368591,4890.0,4895.0,78.0,83.0,337.6560890674591,0.9580591917037964,0.9588138461112976,0.9572368264198303,0.9588815569877625,0.9579677581787109,0.957436203956604,0.9161384701728821,0.9897047877311707,1164.0,1166.0,50.0,52.0,1.4856584072113037
35,VGG19,128,0.3,0.3,32,7,0.9625377655029297,0.9629256725311279,0.9625377655029297,0.9620593190193176,0.9618490934371948,0.9616938829421997,0.9237345457077026,0.9921108484268188,4779.0,4781.0,184.0,186.0,218.80927515029907,0.9654605388641357,0.9654605388641357,0.9654605388641357,0.9654605388641357,0.9654605388641357,0.9654605388641357,0.9309210777282715,0.9889734387397766,1174.0,1174.0,42.0,42.0,1.492755651473999
36,VGG19,128,0.3,0.3,32,6,0.9374873042106628,0.9372971057891846,0.9374873042106628,0.9372774362564087,0.9373801946640015,0.9374857544898987,0.8747661709785461,0.9815870523452759,4619.0,4618.0,309.0,308.0,200.42906403541565,0.9535256624221802,0.9520383477210999,0.9543269276618958,0.9519230723381042,0.9531927704811096,0.9542235136032104,0.9062832593917847,0.9793840646743774,1191.0,1188.0,60.0,57.0,1.531803846359253
37,VGG19,128,0.3,0.3,32,10,0.9737574458122253,0.9737574458122253,0.9737574458122253,0.9738923907279968,0.9738922119140625,0.9738976359367371,0.9477900266647339,0.9947479963302612,4898.0,4898.0,132.0,132.0,271.493825674057,0.9635416865348816,0.9635416865348816,0.9635416865348816,0.9635416865348816,0.9635416865348816,0.9635416865348816,0.9270833134651184,0.9887146353721619,1110.0,1110.0,42.0,42.0,1.4218297004699707
