folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
1,InceptionV3,128,0.3,0.3,32,1,0.9595469236373901,0.9585691094398499,0.9593446850776672,0.9580644965171814,0.9585180282592773,0.958871066570282,0.9170423150062561,0.9911574125289917,4743.0,4739.0,205.0,201.0,77.86089444160461,0.9712170958518982,0.971240758895874,0.9720394611358643,0.9712170958518982,0.9716346263885498,0.9720394611358643,0.9432690143585205,0.9948768019676208,1182.0,1181.0,35.0,34.0,2.343831777572632
2,InceptionV3,128,0.3,0.3,32,3,0.9782477617263794,0.9786548614501953,0.9788519740104675,0.9787660241127014,0.9788854718208313,0.9789870977401733,0.9577937126159668,0.9975029826164246,4860.0,4859.0,106.0,105.0,94.77572083473206,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.9375,0.9928242564201355,1178.0,1178.0,38.0,38.0,2.1516971588134766
3,InceptionV3,128,0.3,0.3,32,3,0.9645375609397888,0.9630076289176941,0.9651420712471008,0.9592681527137756,0.9604676365852356,0.9613320827484131,0.9208014011383057,0.9913693070411682,4790.0,4779.0,184.0,173.0,94.83195757865906,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.90625,0.9866977334022522,1159.0,1159.0,57.0,57.0,2.259000062942505
4,InceptionV3,128,0.3,0.3,32,2,0.9683127403259277,0.9660981893539429,0.9674897193908691,0.966018557548523,0.9667471051216125,0.9675209522247314,0.9335607290267944,0.9949542880058289,4702.0,4695.0,165.0,158.0,84.38023900985718,0.9717987775802612,0.9717987775802612,0.9717987775802612,0.9717987775802612,0.9717987775802612,0.9717987775802612,0.9435975551605225,0.9961869120597839,1275.0,1275.0,37.0,37.0,2.3176429271698
5,InceptionV3,128,0.3,0.3,32,8,0.9997990727424622,0.9997990727424622,0.9997990727424622,0.9997996687889099,0.9997996687889099,0.9997996687889099,0.9995993375778198,0.9999994039535522,4976.0,4976.0,1.0,1.0,143.92202973365784,0.9569256901741028,0.9569256901741028,0.9569256901741028,0.9569256901741028,0.9569256901741028,0.9569256901741028,0.9138513803482056,0.9848711490631104,1133.0,1133.0,51.0,51.0,2.303175687789917
6,InceptionV3,128,0.3,0.3,32,5,0.983390748500824,0.983985424041748,0.9831881523132324,0.9840725660324097,0.9833750128746033,0.9829290509223938,0.9669387340545654,0.9989057779312134,4854.0,4858.0,79.0,83.0,113.80264115333557,0.9751602411270142,0.9759422540664673,0.9751602411270142,0.9759615659713745,0.9755545258522034,0.9751845002174377,0.9511339068412781,0.9937682151794434,1217.0,1218.0,30.0,31.0,1.5916674137115479
7,InceptionV3,128,0.3,0.3,32,5,0.9870366454124451,0.9864454865455627,0.9876443147659302,0.9864919185638428,0.9871152639389038,0.9876882433891296,0.974216878414154,0.9983838796615601,4876.0,4870.0,67.0,61.0,113.53291034698486,0.9551281929016113,0.9551281929016113,0.9551281929016113,0.9551281929016113,0.9551281929016113,0.9551281929016113,0.9102563858032227,0.9780083894729614,1192.0,1192.0,56.0,56.0,1.5768609046936035
8,InceptionV3,128,0.3,0.3,32,6,0.9847250580787659,0.9851293563842773,0.9849287271499634,0.9851866960525513,0.985095739364624,0.9850006103515625,0.9702095985412598,0.998733639717102,4836.0,4837.0,73.0,74.0,123.74807715415955,0.9750000238418579,0.9742388725280762,0.9750000238418579,0.9742187261581421,0.9746634364128113,0.974899172782898,0.949227511882782,0.9957128763198853,1248.0,1247.0,33.0,32.0,1.547701358795166
9,InceptionV3,128,0.3,0.3,32,3,0.9719887971878052,0.9719719886779785,0.971388578414917,0.9721337556838989,0.971829354763031,0.9715941548347473,0.9437188506126404,0.9958926439285278,4855.0,4858.0,140.0,143.0,95.67093229293823,0.9797297120094299,0.9788672924041748,0.9780405163764954,0.9788851141929626,0.9786115884780884,0.9777902960777283,0.9569796919822693,0.9966020584106445,1158.0,1159.0,25.0,26.0,2.274317502975464
10,InceptionV3,128,0.3,0.3,32,5,0.982782781124115,0.9827724099159241,0.9821822047233582,0.9828821420669556,0.9825783371925354,0.9823384881019592,0.9652116298675537,0.9988714456558228,4906.0,4909.0,86.0,89.0,113.6636209487915,0.9771959185600281,0.9763513803482056,0.9763513803482056,0.9763513803482056,0.9763771295547485,0.9763224720954895,0.9527266025543213,0.996116578578949,1156.0,1156.0,28.0,28.0,1.5514063835144043
11,InceptionV3,128,0.3,0.3,32,3,0.9731337428092957,0.9719664454460144,0.9741591215133667,0.9716776013374329,0.9728261828422546,0.9739895462989807,0.94571852684021,0.9945260882377625,4750.0,4739.0,137.0,126.0,93.68974184989929,0.9786585569381714,0.9779132008552551,0.9786585569381714,0.9778963327407837,0.9784826636314392,0.9782406091690063,0.9565537571907043,0.9961259365081787,1284.0,1283.0,29.0,28.0,2.2452924251556396
12,InceptionV3,128,0.3,0.3,32,6,0.9902557730674744,0.9900588393211365,0.9906617999076843,0.9900433421134949,0.9903489351272583,0.9906767010688782,0.9807227849960327,0.9993833303451538,4880.0,4877.0,49.0,46.0,121.40014028549194,0.9719551205635071,0.9719551205635071,0.9719551205635071,0.9719551205635071,0.9719551205635071,0.9719551205635071,0.9439102411270142,0.9950824975967407,1213.0,1213.0,35.0,35.0,1.5806570053100586
13,InceptionV3,128,0.3,0.3,32,7,0.9902892708778381,0.9894843101501465,0.9898846745491028,0.9895161390304565,0.9897201061248779,0.9899669885635376,0.9794892072677612,0.9996241331100464,4893.0,4891.0,52.0,50.0,132.43599724769592,0.9769737124443054,0.9777411222457886,0.9753289222717285,0.9777960777282715,0.9763992428779602,0.9756777882575989,0.9531534910202026,0.9955485463142395,1186.0,1189.0,27.0,30.0,2.349668264389038
14,InceptionV3,128,0.3,0.3,32,1,0.957365870475769,0.9582915306091309,0.956565260887146,0.9585987329483032,0.9576131105422974,0.9570817947387695,0.9155104160308838,0.9905255436897278,4779.0,4788.0,208.0,217.0,74.88495111465454,0.9721283912658691,0.9721518754959106,0.9729729890823364,0.9721283912658691,0.9725831747055054,0.9729185104370117,0.9451124668121338,0.9939326643943787,1152.0,1151.0,33.0,32.0,2.241666793823242
15,InceptionV3,128,0.3,0.3,32,3,0.9735872149467468,0.9731996655464172,0.9739966988563538,0.9732434749603271,0.973666250705719,0.9741171002388,0.9473927617073059,0.9962401390075684,4757.0,4753.0,131.0,127.0,93.29431986808777,0.9703124761581421,0.9702660441398621,0.96875,0.9703124761581421,0.9695064425468445,0.9688210487365723,0.9390853643417358,0.9946170449256897,1240.0,1242.0,38.0,40.0,2.339304208755493
16,InceptionV3,128,0.3,0.3,32,4,0.9792296886444092,0.978641927242279,0.9794313311576843,0.978596568107605,0.9790206551551819,0.9794119596481323,0.9580517411231995,0.9966225624084473,4857.0,4853.0,106.0,102.0,103.36565971374512,0.9671052694320679,0.9671322703361511,0.9679276347160339,0.9671052694320679,0.9676492810249329,0.9676623940467834,0.9350373148918152,0.9935624003410339,1177.0,1176.0,40.0,39.0,1.6269314289093018
17,InceptionV3,128,0.3,0.3,32,3,0.9704322814941406,0.9700306057929993,0.970228374004364,0.9689528942108154,0.9690819978713989,0.9691793322563171,0.9381914138793945,0.9949305653572083,4758.0,4757.0,147.0,146.0,93.03321862220764,0.9664062261581421,0.9663800001144409,0.965624988079071,0.9664062261581421,0.9659722447395325,0.9657196998596191,0.932040810585022,0.9949953556060791,1236.0,1237.0,43.0,44.0,1.5767064094543457
18,InceptionV3,128,0.3,0.3,32,3,0.977911651134491,0.977719783782959,0.9781124591827393,0.9777644276618958,0.9779701232910156,0.9781994819641113,0.9559762477874756,0.9970032572746277,4871.0,4869.0,111.0,109.0,92.66140031814575,0.9729729890823364,0.9729729890823364,0.9729729890823364,0.9729729890823364,0.9729729890823364,0.9729729890823364,0.9459459185600281,0.9919296503067017,1152.0,1152.0,32.0,32.0,1.5227577686309814
19,InceptionV3,128,0.3,0.3,32,2,0.9704118371009827,0.9702059626579285,0.9700120091438293,0.9699044227600098,0.9697669148445129,0.9698766469955444,0.9397097229957581,0.995983362197876,4852.0,4853.0,149.0,150.0,83.87627291679382,0.9704391956329346,0.9712352156639099,0.9695945978164673,0.9712837934494019,0.9701979160308838,0.9700807929039001,0.9408899545669556,0.9946827292442322,1148.0,1150.0,34.0,36.0,1.5308525562286377
20,InceptionV3,128,0.3,0.3,32,5,0.9858113527297974,0.9858113527297974,0.9858113527297974,0.9848726391792297,0.9848689436912537,0.9849136471748352,0.9697800278663635,0.9981989860534668,4933.0,4933.0,71.0,71.0,113.45395994186401,0.9611486196517944,0.9619610905647278,0.9611486196517944,0.9619932174682617,0.9613229036331177,0.9616348743438721,0.9231398105621338,0.9932839274406433,1138.0,1139.0,45.0,46.0,1.537161111831665
21,InceptionV3,128,0.3,0.3,32,1,0.9629035592079163,0.9623095393180847,0.9625024795532227,0.9623026847839355,0.9624567031860352,0.9625015258789062,0.924918532371521,0.9928671717643738,4800.0,4799.0,188.0,187.0,74.6497483253479,0.9662162065505981,0.9669771194458008,0.9645270109176636,0.9670608043670654,0.9657326936721802,0.9647016525268555,0.9316469430923462,0.9903843998908997,1142.0,1145.0,39.0,42.0,2.2841413021087646
22,InceptionV3,128,0.3,0.3,32,5,0.9775055050849915,0.9773138165473938,0.9777063727378845,0.9773637652397156,0.9775727391242981,0.9777923822402954,0.9551747441291809,0.9976615905761719,4868.0,4866.0,113.0,111.0,113.27019739151001,0.9814189076423645,0.9814189076423645,0.9814189076423645,0.9814189076423645,0.9814189076423645,0.9814189076423645,0.962837815284729,0.9955986738204956,1162.0,1162.0,22.0,22.0,1.565284013748169
23,InceptionV3,128,0.3,0.3,32,7,0.9922909736633301,0.9915086627006531,0.9924886226654053,0.9915487170219421,0.9920536279678345,0.9925307035446167,0.9841066002845764,0.9991092085838318,5021.0,5016.0,43.0,38.0,133.96530747413635,0.9705356955528259,0.971377432346344,0.9696428775787354,0.9714285731315613,0.9705213308334351,0.9697240591049194,0.9411255121231079,0.9907342791557312,1086.0,1088.0,32.0,34.0,1.4547083377838135
24,InceptionV3,128,0.3,0.3,32,3,0.9765593409538269,0.977142870426178,0.9759477972984314,0.9768262505531311,0.9761949181556702,0.975676417350769,0.9524588584899902,0.9975476264953613,4788.0,4794.0,112.0,118.0,91.84103441238403,0.97265625,0.9726348519325256,0.971875011920929,0.97265625,0.9722344279289246,0.971969723701477,0.9445651769638062,0.9931727051734924,1244.0,1245.0,35.0,36.0,1.620678424835205
25,InceptionV3,128,0.3,0.3,32,3,0.9733145833015442,0.9723668694496155,0.9743177890777588,0.972288966178894,0.9733235239982605,0.9742813110351562,0.946637749671936,0.9966246485710144,4856.0,4846.0,138.0,128.0,94.22025394439697,0.9695945978164673,0.9704142212867737,0.9695945978164673,0.9704391956329346,0.9700101613998413,0.9696201682090759,0.9400465488433838,0.9945440292358398,1148.0,1149.0,35.0,36.0,2.270512342453003
26,InceptionV3,128,0.3,0.3,32,7,0.9927302002906799,0.9925298094749451,0.9927302002906799,0.9925402998924255,0.9926457405090332,0.9927354454994202,0.9852851033210754,0.9996064901351929,4916.0,4915.0,37.0,36.0,130.7915918827057,0.9777960777282715,0.9777777791023254,0.9769737124443054,0.9777960777282715,0.9773653149604797,0.9770234823226929,0.9547813534736633,0.9944358468055725,1188.0,1189.0,27.0,28.0,1.5761513710021973
27,InceptionV3,128,0.3,0.3,32,3,0.9660107493400574,0.9652363657951355,0.9658119678497314,0.963268518447876,0.9635735750198364,0.963932454586029,0.9272229075431824,0.9918954372406006,4859.0,4856.0,175.0,172.0,94.8231840133667,0.9609375,0.960869550704956,0.9592013955116272,0.9609375,0.9600556492805481,0.9592539668083191,0.9201651811599731,0.9930984377861023,1105.0,1107.0,45.0,47.0,1.546271562576294
28,InceptionV3,128,0.3,0.3,32,2,0.9359616041183472,0.9329073429107666,0.9349609613418579,0.9309713840484619,0.9322038292884827,0.9331135153770447,0.8643868565559387,0.980533242225647,4672.0,4661.0,336.0,325.0,83.35036396980286,0.9560810923576355,0.9560810923576355,0.9560810923576355,0.9560810923576355,0.9560810923576355,0.9560810923576355,0.912162184715271,0.9829676151275635,1132.0,1132.0,52.0,52.0,1.5343387126922607
