folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
1,DenseNet201,128,0.3,0.3,32,2,0.9724919199943542,0.9710819125175476,0.9712783098220825,0.9709677696228027,0.9710772037506104,0.9712477922439575,0.9422380924224854,0.9962794184684753,4802.0,4801.0,143.0,142.0,196.66721367835999,0.9753289222717285,0.9736625552177429,0.9728618264198303,0.9736841917037964,0.9732401967048645,0.9729615449905396,0.9465817809104919,0.9937503337860107,1183.0,1184.0,32.0,33.0,5.527937650680542
2,DenseNet201,128,0.3,0.3,32,6,0.9955689907073975,0.9949668049812317,0.9953675866127014,0.9949919581413269,0.9952012300491333,0.9954100251197815,0.9904206395149231,0.9998695850372314,4942.0,4940.0,25.0,23.0,277.9860553741455,0.9736841917037964,0.9728841185569763,0.9736841917037964,0.9728618264198303,0.9733805656433105,0.973471999168396,0.9465520977973938,0.9894667863845825,1184.0,1183.0,33.0,32.0,4.940211296081543
3,DenseNet201,128,0.3,0.3,32,2,0.9796494245529175,0.9796658158302307,0.9804553985595703,0.9797676205635071,0.9802179336547852,0.9805630445480347,0.96043461561203,0.9976145029067993,4866.0,4862.0,101.0,97.0,187.60371160507202,0.9621710777282715,0.9621087312698364,0.9605262875556946,0.9621710777282715,0.9610739350318909,0.9610978960990906,0.9227294921875,0.9850535988807678,1168.0,1170.0,46.0,48.0,5.065211296081543
4,DenseNet201,128,0.3,0.3,32,4,0.9835391044616699,0.9823154211044312,0.982921838760376,0.9823190569877625,0.9826377034187317,0.9829767346382141,0.965318500995636,0.9985174536705017,4777.0,4774.0,86.0,83.0,230.65092611312866,0.980182945728302,0.9809305667877197,0.980182945728302,0.9809451103210449,0.9805458784103394,0.9802290797233582,0.9611388444900513,0.996655285358429,1286.0,1287.0,25.0,26.0,5.367000341415405
5,DenseNet201,128,0.3,0.3,32,2,0.9762909412384033,0.9756881594657898,0.9756881594657898,0.9757612347602844,0.9757397770881653,0.9759261012077332,0.9516496658325195,0.9965208172798157,4856.0,4856.0,121.0,121.0,190.03072881698608,0.9619932174682617,0.957947850227356,0.9619932174682617,0.9577702879905701,0.9605699777603149,0.9606565237045288,0.9198358654975891,0.9913047552108765,1139.0,1134.0,50.0,45.0,5.341403961181641
6,DenseNet201,128,0.3,0.3,32,1,0.9621227383613586,0.9608757495880127,0.9600972533226013,0.9605734348297119,0.9601423740386963,0.9599839448928833,0.9205136299133301,0.9935218691825867,4740.0,4744.0,193.0,197.0,162.97256922721863,0.9775640964508057,0.9775999784469604,0.9791666865348816,0.9775640964508057,0.9784023761749268,0.9791150093078613,0.9567534327507019,0.9966150522232056,1222.0,1220.0,28.0,26.0,3.5593340396881104
7,DenseNet201,128,0.3,0.3,32,2,0.9803524613380432,0.9795670509338379,0.9807575345039368,0.979637086391449,0.9802467823028564,0.9809050559997559,0.9605541825294495,0.9980230927467346,4842.0,4836.0,101.0,95.0,182.6937277317047,0.9583333134651184,0.9575660824775696,0.9583333134651184,0.9575320482254028,0.9579511880874634,0.9583075046539307,0.9158767461776733,0.9909278154373169,1196.0,1195.0,53.0,52.0,3.4864490032196045
8,DenseNet201,128,0.3,0.3,32,3,0.97698575258255,0.975996732711792,0.9771894216537476,0.9757943153381348,0.9764174222946167,0.9770516753196716,0.952876627445221,0.9972803592681885,4798.0,4792.0,118.0,112.0,207.51646041870117,0.9789062738418579,0.9773790836334229,0.9789062738418579,0.977343738079071,0.9781368374824524,0.978929877281189,0.9562972784042358,0.9965181946754456,1253.0,1251.0,29.0,27.0,4.442047119140625
9,DenseNet201,128,0.3,0.3,32,1,0.965786337852478,0.9641498327255249,0.9631852507591248,0.9643710255622864,0.9638668894767761,0.9635597467422485,0.9279298186302185,0.994655191898346,4814.0,4819.0,179.0,184.0,164.7172772884369,0.9797297120094299,0.9797468185424805,0.9805743098258972,0.9797297120094299,0.9801715016365051,0.9805471301078796,0.960316002368927,0.9970425367355347,1161.0,1160.0,24.0,23.0,5.069073915481567
10,DenseNet201,128,0.3,0.3,32,6,0.9821822047233582,0.9798161387443542,0.9815815687179565,0.9798964858055115,0.9808037877082825,0.9817922711372375,0.9617147445678711,0.9987375140190125,4903.0,4894.0,101.0,92.0,270.4679355621338,0.9822635054588318,0.9813874959945679,0.9797297120094299,0.9814189076423645,0.9803732633590698,0.9801392555236816,0.9611626863479614,0.9974046349525452,1160.0,1162.0,22.0,24.0,3.4433176517486572
