folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
1,ResNet101V2,128,0.3,0.3,32,5,0.9892799258232117,0.9892755746841431,0.9888753890991211,0.9893144965171814,0.989109456539154,0.9889414310455322,0.9782498478889465,0.9994597434997559,4889.0,4891.0,53.0,55.0,256.3972945213318,0.9695723652839661,0.9703947305679321,0.9703947305679321,0.9703947305679321,0.9703947305679321,0.9703947305679321,0.9407894611358643,0.9915859699249268,1180.0,1180.0,36.0,36.0,3.3642611503601074
2,ResNet101V2,128,0.3,0.3,32,5,0.9728096723556519,0.9728041887283325,0.9726082682609558,0.9729567170143127,0.972827136516571,0.9729203581809998,0.9458236694335938,0.9960964918136597,4829.0,4830.0,135.0,136.0,257.6035723686218,0.9679276347160339,0.968724250793457,0.9679276347160339,0.96875,0.9684561491012573,0.9677025675773621,0.9366973042488098,0.9933595061302185,1177.0,1178.0,38.0,39.0,3.0460240840911865
3,ResNet101V2,128,0.3,0.3,32,3,0.9667539596557617,0.9657947421073914,0.9671569466590881,0.9620726108551025,0.9628342986106873,0.9634610414505005,0.9256609678268433,0.9935377240180969,4800.0,4793.0,170.0,163.0,211.35626554489136,0.9613487124443054,0.9605262875556946,0.9605262875556946,0.9605262875556946,0.9605514407157898,0.9604982137680054,0.9210759401321411,0.9921916127204895,1168.0,1168.0,48.0,48.0,3.027172088623047
4,ResNet101V2,128,0.3,0.3,32,3,0.9771605134010315,0.9763472080230713,0.9767489433288574,0.9763569235801697,0.9765262603759766,0.9768562316894531,0.9531733989715576,0.996722400188446,4747.0,4745.0,115.0,113.0,208.8303816318512,0.9771341681480408,0.9771341681480408,0.9771341681480408,0.9771341681480408,0.9771341681480408,0.9771341681480408,0.9542682766914368,0.9949727654457092,1282.0,1282.0,30.0,30.0,3.1630427837371826
5,ResNet101V2,128,0.3,0.3,32,8,0.998794436454773,0.9983932375907898,0.998794436454773,0.9983974099159241,0.9986007809638977,0.9988041520118713,0.9972076416015625,0.9999884963035583,4971.0,4969.0,8.0,6.0,323.6276361942291,0.9611486196517944,0.9594594836235046,0.9594594836235046,0.9594594836235046,0.9599054455757141,0.9585482478141785,0.9189329147338867,0.9856986999511719,1136.0,1136.0,48.0,48.0,2.944193124771118
6,ResNet101V2,128,0.3,0.3,32,3,0.9754911661148071,0.9746963381767273,0.9752886295318604,0.973767876625061,0.974079430103302,0.9744290113449097,0.9482187628746033,0.9972343444824219,4815.0,4812.0,125.0,122.0,210.77674007415771,0.9791666865348816,0.9791833758354187,0.9799679517745972,0.9791666865348816,0.9795734882354736,0.9799679517745972,0.9591467380523682,0.9953938722610474,1223.0,1222.0,26.0,25.0,3.0015788078308105
7,ResNet101V2,128,0.3,0.3,32,9,0.9961515069007874,0.9957472681999207,0.9959489703178406,0.9957661032676697,0.9958715438842773,0.9959734678268433,0.9917489290237427,0.9996976852416992,4917.0,4916.0,21.0,20.0,345.81598114967346,0.9551281929016113,0.955092191696167,0.9543269276618958,0.9551281929016113,0.954721212387085,0.9543511867523193,0.9094672799110413,0.9740145206451416,1191.0,1192.0,56.0,57.0,3.000354528427124
8,ResNet101V2,128,0.3,0.3,32,1,0.9602851271629333,0.9612561464309692,0.9600814580917358,0.9614447951316833,0.9608041048049927,0.9603978991508484,0.9217856526374817,0.9928603768348694,4714.0,4720.0,190.0,196.0,164.48473238945007,0.979687511920929,0.9804534912109375,0.979687511920929,0.98046875,0.9800719022750854,0.9797111749649048,0.9601680636405945,0.9972653985023499,1254.0,1255.0,25.0,26.0,3.067502975463867
9,ResNet101V2,128,0.3,0.3,32,6,0.9835934638977051,0.9843781590461731,0.9833933711051941,0.9844745397567749,0.9839557409286499,0.983599841594696,0.9680337905883789,0.9988667368888855,4915.0,4920.0,78.0,83.0,279.99423599243164,0.9797297120094299,0.9796954393386841,0.9780405163764954,0.9797297120094299,0.9788583517074585,0.9781172275543213,0.9577950239181519,0.9962928295135498,1158.0,1160.0,24.0,26.0,2.865396499633789
10,ResNet101V2,128,0.3,0.3,32,1,0.9629629850387573,0.9621697068214417,0.9623623490333557,0.962380588054657,0.9624590277671814,0.9627193808555603,0.9250659346580505,0.993171215057373,4807.0,4806.0,189.0,188.0,166.10463738441467,0.9771959185600281,0.9763513803482056,0.9763513803482056,0.9763513803482056,0.976176917552948,0.9767097234725952,0.9527175426483154,0.9950602054595947,1156.0,1156.0,28.0,28.0,2.8729403018951416
