epoch,FN,FP,TN,TP,accuracy,auc,f1_score,loss,lr,mcc,npv,precision,recall,specificity,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_auc,val_f1_score,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity
0,1537.0,1578.0,4694.0,4735.0,0.7411859035491943,0.8436421751976013,0.7354698777198792,0.5385114550590515,0.01,0.4695799946784973,0.7364878058433533,0.7500395774841309,0.7549425959587097,0.7299679517745972,594.0,572.0,644.0,622.0,0.5164473652839661,0.5518940687179565,0.5158331394195557,0.6923635601997375,0.0411020889878273,0.5206481218338013,0.5209380388259888,0.5115131735801697,0.5296052694320679
1,1015.0,1026.0,3945.0,3956.0,0.7942063808441162,0.8990467190742493,0.7932860255241394,0.3918812572956085,0.01,0.5873619318008423,0.7948900461196899,0.794058620929718,0.7958157062530518,0.7921765446662903,494.0,437.0,779.0,722.0,0.6159539222717285,0.7442153692245483,0.608180820941925,0.6072286367416382,0.23487906157970428,0.611534059047699,0.6229507923126221,0.59375,0.640625
2,916.0,908.0,4063.0,4055.0,0.818346381187439,0.9159888029098511,0.8165781497955322,0.35839271545410156,0.01,0.6344660520553589,0.8172284364700317,0.8170461654663086,0.8157312273979187,0.8177265524864197,163.0,170.0,1046.0,1053.0,0.8643091917037964,0.9276120066642761,0.8635342121124268,0.3442634344100952,0.7262763381004333,0.8651447296142578,0.8609975576400757,0.8659539222717285,0.8601973652839661
3,838.0,845.0,4126.0,4133.0,0.8302152752876282,0.9277721643447876,0.8291462659835815,0.33444640040397644,0.01,0.6587609648704529,0.8301892280578613,0.8302531242370605,0.8314222693443298,0.8284345865249634,342.0,359.0,857.0,874.0,0.7105262875556946,0.8438527584075928,0.7136207818984985,0.4720555245876312,0.42367398738861084,0.7150970697402954,0.7088402509689331,0.71875,0.7047697305679321
4,763.0,759.0,4212.0,4208.0,0.847716748714447,0.9362713694572449,0.8473795652389526,0.31822147965431213,0.01,0.6953405737876892,0.8476749062538147,0.8471914529800415,0.8465097546577454,0.8479567170143127,424.0,437.0,779.0,792.0,0.6472039222717285,0.7436769604682922,0.6479336619377136,0.6808452606201172,0.29201197624206543,0.6473424434661865,0.6444263458251953,0.6513158082962036,0.640625
5,688.0,686.0,4285.0,4283.0,0.8609937429428101,0.945260763168335,0.8615233302116394,0.29475900530815125,0.01,0.7234652638435364,0.8617825508117676,0.8619440793991089,0.8615972399711609,0.8618152141571045,316.0,320.0,896.0,900.0,0.7376644611358643,0.8528907299041748,0.7389143109321594,0.46877458691596985,0.47703874111175537,0.7392979860305786,0.7377049326896667,0.7401315569877625,0.7368420958518982
6,624.0,630.0,4341.0,4347.0,0.8728625774383545,0.956464946269989,0.8738781809806824,0.2641949951648712,0.0009999999,0.7478703856468201,0.8746878504753113,0.8734177350997925,0.8744719624519348,0.8730331659317017,337.0,334.0,882.0,879.0,0.7245065569877625,0.8515243530273438,0.723602831363678,0.5213583111763,0.4482128620147705,0.7238474488258362,0.7246496081352234,0.7228618264198303,0.7253289222717285
7,534.0,533.0,4438.0,4437.0,0.8945885896682739,0.9686331152915955,0.8931360244750977,0.22651638090610504,0.0009999999,0.786503791809082,0.8932194113731384,0.8927565217018127,0.8925769329071045,0.8932291865348816,121.0,119.0,1097.0,1095.0,0.9004934430122375,0.9673116207122803,0.9011982083320618,0.2320270538330078,0.8026500344276428,0.9007425904273987,0.9019769430160522,0.9004934430122375,0.9021381735801697
8,480.0,480.0,4491.0,4491.0,0.9052504301071167,0.9706777334213257,0.9031488299369812,0.21932734549045563,0.0009999999,0.8063258528709412,0.9030871391296387,0.9034399390220642,0.9034399390220642,0.9030812382698059,113.0,110.0,1106.0,1103.0,0.9095394611358643,0.9691050052642822,0.9081519246101379,0.23189060389995575,0.8166773915290833,0.9074309468269348,0.9093157649040222,0.9070723652839661,0.9095394611358643
9,460.0,468.0,4503.0,4511.0,0.9056527614593506,0.9743962287902832,0.9063712954521179,0.20437273383140564,0.0009999999,0.8127123117446899,0.9070419669151306,0.9060052037239075,0.9074633121490479,0.9054850935935974,95.0,95.0,1121.0,1121.0,0.9235197305679321,0.9763825535774231,0.9216716289520264,0.19871804118156433,0.84381103515625,0.9223211407661438,0.921875,0.921875,0.921875
10,444.0,442.0,4529.0,4527.0,0.9110842943191528,0.9760083556175232,0.9111909866333008,0.19817642867565155,0.0009999999,0.8226748704910278,0.9113284349441528,0.9110484719276428,0.910681962966919,0.9114583134651184,79.0,77.0,1139.0,1137.0,0.9358552694320679,0.9849668145179749,0.9358288645744324,0.15630723536014557,0.8717595338821411,0.9351325631141663,0.936573326587677,0.9350329041481018,0.9366776347160339
11,438.0,437.0,4534.0,4533.0,0.9122912883758545,0.9751762747764587,0.9121583700180054,0.20153924822807312,0.0009999999,0.8244513273239136,0.911996603012085,0.9120724201202393,0.9118889570236206,0.9124599099159241,87.0,84.0,1132.0,1129.0,0.9300987124443054,0.9846097230911255,0.9292051196098328,0.16074791550636292,0.8593874573707581,0.9294037818908691,0.9307501912117004,0.9284539222717285,0.9309210777282715
12,414.0,423.0,4548.0,4557.0,0.9155099391937256,0.9774677157402039,0.9158434867858887,0.1920911818742752,0.0009999999,0.8317094445228577,0.9166943430900574,0.9150602221488953,0.9167169332504272,0.9148820042610168,127.0,125.0,1091.0,1089.0,0.8972039222717285,0.9607166051864624,0.8961325287818909,0.2912087142467499,0.7927953004837036,0.8960793018341064,0.8970345854759216,0.8955591917037964,0.8972039222717285
13,420.0,422.0,4549.0,4551.0,0.9153087735176086,0.9757409691810608,0.914927065372467,0.19936561584472656,0.0009999999,0.8299336433410645,0.915165901184082,0.915141761302948,0.9155099391937256,0.9146998524665833,66.0,66.0,1150.0,1150.0,0.9457237124443054,0.9880030155181885,0.9457237124443054,0.13929979503154755,0.8914473652839661,0.9457237124443054,0.9457237124443054,0.9457237124443054,0.9457237124443054
14,386.0,386.0,4585.0,4585.0,0.9209414720535278,0.9799692034721375,0.9226706027984619,0.18197865784168243,0.0009999999,0.8454617261886597,0.9227850437164307,0.9223496317863464,0.9223496317863464,0.9226762652397156,116.0,114.0,1102.0,1100.0,0.9054276347160339,0.9615964889526367,0.9052579998970032,0.2897229790687561,0.8108705282211304,0.904954195022583,0.906095564365387,0.9046052694320679,0.90625
15,361.0,361.0,4610.0,4610.0,0.92737877368927,0.9796193242073059,0.9272909760475159,0.1825508177280426,0.0009999999,0.8547045588493347,0.9274153113365173,0.92737877368927,0.92737877368927,0.927301824092865,192.0,189.0,1027.0,1024.0,0.8429276347160339,0.9164230823516846,0.8429770469665527,0.42695704102516174,0.6867342591285706,0.8428682088851929,0.8441879749298096,0.8421052694320679,0.8445723652839661
16,369.0,364.0,4607.0,4602.0,0.9255682826042175,0.982477605342865,0.9265123009681702,0.170704647898674,0.0009999999,0.8532640337944031,0.9263069033622742,0.926701545715332,0.9257694482803345,0.9270833134651184,213.0,215.0,1001.0,1003.0,0.8256579041481018,0.8961181640625,0.8241105079650879,0.5815478563308716,0.6480560302734375,0.8246603012084961,0.8234811425209045,0.8248355388641357,0.8231908082962036
17,356.0,358.0,4613.0,4615.0,0.9285858273506165,0.9816819429397583,0.927922785282135,0.17410720884799957,9.999999e-05,0.8559501767158508,0.9280118942260742,0.9280112385749817,0.9283846020698547,0.9279028177261353,68.0,68.0,1148.0,1148.0,0.9449012875556946,0.9862504005432129,0.9439609050750732,0.14955836534500122,0.8881739377975464,0.9443265199661255,0.9440789222717285,0.9440789222717285,0.9440789222717285
18,339.0,327.0,4644.0,4632.0,0.933816134929657,0.9833528399467468,0.9325954914093018,0.16594140231609344,9.999999e-05,0.8655703663825989,0.9316862225532532,0.9340592622756958,0.9318044781684875,0.9341127276420593,78.0,77.0,1139.0,1138.0,0.9358552694320679,0.9841197729110718,0.9360379576683044,0.1669796109199524,0.8725317120552063,0.9363037943840027,0.9366255402565002,0.9358552694320679,0.9366776347160339
