epoch,FN,FP,TN,TP,accuracy,auc,f1_score,loss,lr,mcc,npv,precision,recall,specificity,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_auc,val_f1_score,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity
0,501.0,506.0,5766.0,5771.0,0.9108573794364929,0.9750693440437317,0.9080851674079895,0.23124854266643524,0.01,0.8162633180618286,0.9082949757575989,0.9193882346153259,0.9201211929321289,0.9076522588729858,126.0,125.0,1091.0,1090.0,0.8939144611358643,0.9428761005401611,0.8967807292938232,0.6042704582214355,0.7936533689498901,0.8964619040489197,0.8971193432807922,0.8963815569877625,0.8972039222717285
1,206.0,215.0,4752.0,4761.0,0.9581236243247986,0.9909762740135193,0.9578731060028076,0.11820272356271744,0.01,0.9157806634902954,0.9587608575820923,0.9567925930023193,0.9585262537002563,0.9569311141967773,51.0,50.0,1166.0,1165.0,0.9580591917037964,0.9864044785499573,0.9584507942199707,0.1520131379365921,0.9169524312019348,0.9581090211868286,0.9588477611541748,0.9580591917037964,0.9588815569877625
2,178.0,179.0,4788.0,4789.0,0.9645661115646362,0.9935112595558167,0.9635252356529236,0.09912766516208649,0.01,0.9271624684333801,0.9637306332588196,0.9639694094657898,0.9641634821891785,0.9634272456169128,43.0,42.0,1174.0,1173.0,0.9646381735801697,0.9927366375923157,0.9652193188667297,0.10519694536924362,0.9301231503486633,0.9643149971961975,0.9654321074485779,0.9646381735801697,0.9654605388641357
3,132.0,136.0,4831.0,4835.0,0.973021924495697,0.9965947270393372,0.9717622399330139,0.07396729290485382,0.01,0.9435029625892639,0.9721029996871948,0.9726413488388062,0.9734246134757996,0.9713255763053894,44.0,43.0,1173.0,1172.0,0.9638158082962036,0.9947709441184998,0.9642204642295837,0.0917392373085022,0.9284663796424866,0.963840663433075,0.9646090269088745,0.9638158082962036,0.9646381735801697
4,106.0,104.0,4863.0,4861.0,0.9788604974746704,0.9977990984916687,0.9789593815803528,0.05611952766776085,0.01,0.9579676985740662,0.9788133502006531,0.9790533781051636,0.9786591529846191,0.9791666865348816,42.0,42.0,1174.0,1174.0,0.9662829041481018,0.9932935237884521,0.9654207825660706,0.10578082501888275,0.9309419393539429,0.9655585885047913,0.9654605388641357,0.9654605388641357,0.9654605388641357
5,81.0,86.0,4881.0,4886.0,0.9828870296478271,0.9987781047821045,0.9832895994186401,0.04242945462465286,0.01,0.966596245765686,0.98378986120224,0.9827031493186951,0.9836923480033875,0.9827724099159241,60.0,60.0,1156.0,1156.0,0.9506579041481018,0.9891573786735535,0.9506579041481018,0.13954181969165802,0.9013158082962036,0.9506579041481018,0.9506579041481018,0.9506579041481018,0.9506579041481018
6,91.0,89.0,4878.0,4876.0,0.9812764525413513,0.9983716011047363,0.9819579720497131,0.046807073056697845,0.01,0.9639708399772644,0.9818242192268372,0.982074499130249,0.9816790819168091,0.9821714758872986,57.0,55.0,1161.0,1159.0,0.953125,0.9932368993759155,0.9536862373352051,0.11014004796743393,0.9079043865203857,0.9536483287811279,0.9546952247619629,0.953125,0.9547697305679321
7,51.0,51.0,4916.0,4916.0,0.9895309209823608,0.9991575479507446,0.9897802472114563,0.028020502999424934,0.01,0.9796034693717957,0.9898260831832886,0.9897322058677673,0.9897322058677673,0.9897836446762085,52.0,52.0,1164.0,1164.0,0.9572368264198303,0.9869686365127563,0.9572368264198303,0.16401667892932892,0.9144737124443054,0.9572368264198303,0.9572368264198303,0.9572368264198303,0.9572368264198303
8,46.0,45.0,4922.0,4921.0,0.9907388687133789,0.9994775056838989,0.9901682734489441,0.024687495082616806,0.0009999999,0.98036128282547,0.9900941252708435,0.9909383654594421,0.9907388687133789,0.99027019739151,47.0,48.0,1168.0,1169.0,0.9613487124443054,0.9918966889381409,0.9610702991485596,0.12105191498994827,0.9218794107437134,0.9610834717750549,0.9605587720870972,0.9613487124443054,0.9605262875556946
9,27.0,27.0,4940.0,4940.0,0.9947654604911804,0.9999029040336609,0.994594156742096,0.015044376254081726,0.0009999999,0.9892065525054932,0.994609534740448,0.9945641160011292,0.9945641160011292,0.9945913553237915,40.0,42.0,1174.0,1176.0,0.9662829041481018,0.991972029209137,0.9663575887680054,0.11319635063409805,0.9326076507568359,0.9669956564903259,0.9655172228813171,0.9671052694320679,0.9654605388641357
