epoch,FN,FP,TN,TP,accuracy,auc,f1_score,loss,lr,mcc,npv,precision,recall,specificity,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_auc,val_f1_score,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity
0,435.0,456.0,5656.0,5677.0,0.9271509647369385,0.9776046276092529,0.918981671333313,0.19883878529071808,0.01,0.8378885388374329,0.920490026473999,0.9256481528282166,0.9288285374641418,0.916801929473877,627.0,625.0,623.0,621.0,0.4975961446762085,0.6775510311126709,0.4979843199253082,1.853796124458313,-0.003204345703125,0.4983982741832733,0.4983948767185211,0.4975961446762085,0.49919870495796204
1,206.0,216.0,4706.0,4716.0,0.9591629505157471,0.9928643107414246,0.9572080969810486,0.10706496238708496,0.01,0.9144453406333923,0.9581726789474487,0.956204354763031,0.9581471085548401,0.9561220407485962,289.0,229.0,1019.0,959.0,0.8004807829856873,0.8743171095848083,0.7864772081375122,0.5053829550743103,0.5858739614486694,0.7807506918907166,0.8072390556335449,0.7684294581413269,0.8165063858032227
2,151.0,153.0,4769.0,4771.0,0.9705404043197632,0.9957690238952637,0.9691162109375,0.08157453685998917,0.01,0.9383766055107117,0.9694510102272034,0.9689276814460754,0.9693214297294617,0.9689528942108154,635.0,625.0,623.0,613.0,0.49118590354919434,0.6477970480918884,0.49309858679771423,2.1974241733551025,-0.009623236022889614,0.49528518319129944,0.4951534867286682,0.49118590354919434,0.49919870495796204
3,160.0,147.0,4775.0,4762.0,0.9699309468269348,0.9954689145088196,0.9687900543212891,0.08189219981431961,0.01,0.9378347992897034,0.9677783846855164,0.9700549840927124,0.9674928784370422,0.9701704382896423,449.0,384.0,864.0,799.0,0.6714743375778198,0.7479331493377686,0.6578834652900696,1.674191951751709,0.33339643478393555,0.6570675373077393,0.675401508808136,0.6402243375778198,0.692307710647583
4,115.0,121.0,4801.0,4807.0,0.9766355156898499,0.997650682926178,0.9760287404060364,0.060101624578237534,0.01,0.9521701335906982,0.9767253994941711,0.9754464030265808,0.9766355156898499,0.9754464030265808,439.0,416.0,832.0,809.0,0.6578525900840759,0.7518747448921204,0.6544360518455505,1.6844470500946045,0.31505563855171204,0.6542775630950928,0.6604081392288208,0.6482371687889099,0.6666666865348816
5,130.0,126.0,4796.0,4792.0,0.9748069643974304,0.9979376792907715,0.9739345908164978,0.06112907826900482,0.0009999999,0.9481044411659241,0.9737978577613831,0.97437983751297,0.9735879898071289,0.974338173866272,263.0,220.0,1028.0,985.0,0.8092948794364929,0.8889023661613464,0.8031010031700134,0.645567774772644,0.613680362701416,0.7964568734169006,0.817427396774292,0.7892628312110901,0.8237179517745972
6,82.0,78.0,4844.0,4840.0,0.9837464690208435,0.9992073774337769,0.9836940765380859,0.03968406841158867,0.0009999999,0.9674715399742126,0.9833930730819702,0.9841399192810059,0.9833400845527649,0.9840784668922424,173.0,155.0,1093.0,1075.0,0.8685897588729858,0.9345567226409912,0.8675642013549805,0.45694059133529663,0.7374113202095032,0.8636054992675781,0.8739837408065796,0.8613781929016113,0.8758012652397156
7,65.0,64.0,4858.0,4857.0,0.9872003197669983,0.9993202090263367,0.9869124293327332,0.03500008583068848,0.0009999999,0.9738681316375732,0.9868518710136414,0.9869945049285889,0.9867939949035645,0.9870129823684692,114.0,101.0,1147.0,1134.0,0.911057710647583,0.9611196517944336,0.9132937788963318,0.32452085614204407,0.8278681635856628,0.9099064469337463,0.9182186126708984,0.9086538553237915,0.9190705418586731
8,56.0,60.0,4862.0,4866.0,0.9882161617279053,0.9994411468505859,0.9881458282470703,0.03196108713746071,0.0009999999,0.9763219356536865,0.9885722398757935,0.9878197312355042,0.9886224865913391,0.9877310395240784,95.0,88.0,1160.0,1153.0,0.9278846383094788,0.9692077040672302,0.9262794256210327,0.27107420563697815,0.8534683585166931,0.9247665405273438,0.9290894269943237,0.9238781929016113,0.9294871687889099
9,50.0,50.0,4872.0,4872.0,0.9900447130203247,0.9994828104972839,0.9898035526275635,0.02542800083756447,0.0009999999,0.9796631336212158,0.9898624420166016,0.9898415207862854,0.9898415207862854,0.98980712890625,75.0,64.0,1184.0,1173.0,0.9455128312110901,0.978998064994812,0.9437512159347534,0.21569786965847015,0.8888017535209656,0.941165030002594,0.9482619166374207,0.9399038553237915,0.9487179517745972
