folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
1,MobileNetV3Large,128,0.3,0.3,32,19,0.9836165308952332,0.9838154911994934,0.9836165308952332,0.9838709831237793,0.9837614893913269,0.983716607093811,0.9675719141960144,0.998980700969696,4863.0,4864.0,80.0,81.0,150.97705674171448,0.9309210777282715,0.931034505367279,0.9325658082962036,0.9309210777282715,0.9318181276321411,0.9325077533721924,0.8635802268981934,0.9743955731391907,1134.0,1132.0,84.0,82.0,1.342392921447754
2,MobileNetV3Large,128,0.3,0.3,32,0,0.8445512652397156,0.8478190898895264,0.8453608155250549,0.8383413553237915,0.8362176418304443,0.8345820307731628,0.6731014847755432,0.9206764101982117,5248.0,5266.0,942.0,960.0,40.05679130554199,0.5131579041481018,0.5131579041481018,0.5131579041481018,0.5131579041481018,0.513157844543457,0.5131579041481018,0.02631578966975212,0.4939563274383545,624.0,624.0,592.0,592.0,1.2810685634613037
3,MobileNetV3Large,128,0.3,0.3,32,0,0.8439503312110901,0.8138110041618347,0.7061855792999268,0.8355368375778198,0.8377310633659363,0.8387757539749146,0.6752890348434448,0.8372822403907776,4384.0,5205.0,1003.0,1824.0,40.29927325248718,0.5008223652839661,0.5008223652839661,0.5008223652839661,0.5008223652839661,0.5008223056793213,0.5008223652839661,0.0016447368543595076,0.474387526512146,609.0,609.0,607.0,607.0,1.3175461292266846
4,MobileNetV3Large,128,0.3,0.3,32,8,0.9553498029708862,0.9559670686721802,0.9559670686721802,0.9559151530265808,0.9559066891670227,0.955991268157959,0.9118930697441101,0.9918440580368042,4646.0,4646.0,214.0,214.0,85.81248831748962,0.6722561120986938,0.6867061853408813,0.6181402206420898,0.7179877758026123,0.6503955721855164,0.6529445648193359,0.3385941684246063,0.7448525428771973,811.0,942.0,370.0,501.0,1.4926960468292236
5,MobileNetV3Large,128,0.3,0.3,32,2,0.9129998087882996,0.9147052764892578,0.9136025905609131,0.9147105813026428,0.9140645265579224,0.9137728810310364,0.8284147381782532,0.9736434817314148,4547.0,4553.0,424.0,430.0,51.271320104599,0.5717905163764954,0.6633333563804626,0.1680743247270584,0.9146959185600281,0.2628283202648163,0.5244161486625671,0.1185956671833992,0.5510144829750061,199.0,1083.0,101.0,985.0,1.3535659313201904
6,MobileNetV3Large,128,0.3,0.3,32,0,0.8344758152961731,0.7893044352531433,0.7591145634651184,0.8264113068580627,0.8321481943130493,0.8347910046577454,0.6632542610168457,0.8716567158699036,4664.0,4899.0,1245.0,1480.0,40.40359020233154,0.5112179517745972,0.5112179517745972,0.5112179517745972,0.5112179517745972,0.5112178921699524,0.5112179517745972,0.022435897961258888,0.43773630261421204,638.0,638.0,610.0,610.0,0.94205641746521
7,MobileNetV3Large,128,0.3,0.3,32,16,0.9890621900558472,0.9890666007995605,0.9894672632217407,0.9885976314544678,0.9887959361076355,0.9890252947807312,0.9776164293289185,0.9995260834693909,4885.0,4883.0,54.0,52.0,131.8859977722168,0.8669871687889099,0.866506814956665,0.8685897588729858,0.8661859035491943,0.8675171136856079,0.8683571219444275,0.7348049879074097,0.9231751561164856,1084.0,1081.0,167.0,164.0,0.9481236934661865
8,MobileNetV3Large,128,0.3,0.3,32,12,0.9688391089439392,0.9694438576698303,0.9692464470863342,0.9695616960525513,0.9694725275039673,0.9693892002105713,0.9389790892601013,0.9961650967597961,4759.0,4760.0,150.0,151.0,108.39522433280945,0.7796875238418579,0.7778632044792175,0.7906249761581421,0.774218738079071,0.7843940258026123,0.7868327498435974,0.5650951266288757,0.86072838306427,1012.0,991.0,289.0,268.0,1.1280229091644287
9,MobileNetV3Large,128,0.3,0.3,32,0,0.8330016136169434,0.7947335243225098,0.7947335243225098,0.8328025341033936,0.832444965839386,0.8338581323623657,0.6662169098854065,0.8457910418510437,5010.0,5010.0,1294.0,1294.0,40.14806127548218,0.5261824131011963,0.5261824131011963,0.5261824131011963,0.5261824131011963,0.5261823534965515,0.5261824131011963,0.05236486345529556,0.5045422315597534,623.0,623.0,561.0,561.0,1.313190221786499
10,MobileNetV3Large,128,0.3,0.3,32,0,0.8503184914588928,0.7843992114067078,0.7823776006698608,0.8459395170211792,0.8436939120292664,0.8444949388504028,0.6893534660339355,0.836510181427002,4857.0,4873.0,1335.0,1351.0,39.44828152656555,0.5126689076423645,0.5126689076423645,0.5126689076423645,0.5126689076423645,0.5126688480377197,0.5126689076423645,0.025337837636470795,0.5829678773880005,607.0,607.0,577.0,577.0,1.0139079093933105
