folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
1,MobileNetV3Small,128,0.3,0.3,32,0,0.8235887289047241,0.8161335587501526,0.8179435729980469,0.8157258033752441,0.8167728781700134,0.8185023069381714,0.6344026327133179,0.8917474150657654,4057.0,4046.0,914.0,903.0,42.69767618179321,0.5057565569877625,0.5057565569877625,0.5057565569877625,0.5057565569877625,0.5057565569877625,0.5057565569877625,0.01151315774768591,0.5455464720726013,615.0,615.0,601.0,601.0,1.2922484874725342
2,MobileNetV3Small,128,0.3,0.3,32,0,0.8145031929016113,0.7522166967391968,0.7516108155250549,0.8125,0.8117898106575012,0.812332272529602,0.6247199177742004,0.7894240617752075,4666.0,4671.0,1537.0,1542.0,36.04384160041809,0.5131579041481018,0.49520233273506165,0.9761512875556946,0.004934210330247879,0.6569419503211975,0.12368420511484146,-0.05567004904150963,0.5404001474380493,1187.0,6.0,1210.0,29.0,1.112175703048706
3,MobileNetV3Small,128,0.3,0.3,32,0,0.8145031929016113,0.7989031076431274,0.7039304375648499,0.8078926205635071,0.8083530068397522,0.8088799118995667,0.617266058921814,0.8136316537857056,4370.0,5108.0,1100.0,1838.0,37.463210344314575,0.5008223652839661,0.5008223652839661,0.5008223652839661,0.5008223652839661,0.5008223056793213,0.5008223652839661,0.0016447368543595076,0.5388588905334473,609.0,609.0,607.0,607.0,1.2601041793823242
4,MobileNetV3Small,128,0.3,0.3,32,0,0.8394325375556946,0.7200775146484375,0.8559210300445557,0.83203125,0.8294851779937744,0.8295800685882568,0.6608452796936035,0.8264718651771545,5204.0,4057.0,2023.0,876.0,42.3622989654541,0.5053353905677795,0.5023219585418701,0.49466463923454285,0.5099085569381714,0.49839597940444946,0.5023069977760315,0.0045694331638514996,0.5175804495811462,649.0,669.0,643.0,663.0,1.6697494983673096
5,MobileNetV3Small,128,0.3,0.3,32,7,0.9489652514457703,0.9478644728660583,0.9497689604759216,0.9473864436149597,0.9482961893081665,0.9492877125740051,0.896673321723938,0.9887136816978455,4727.0,4717.0,260.0,250.0,87.69079637527466,0.6638513803482056,0.6156225800514221,0.6722972989082336,0.5802364945411682,0.6384097337722778,0.6468858122825623,0.2587589621543884,0.6484224796295166,796.0,687.0,497.0,388.0,1.6701815128326416
6,MobileNetV3Small,128,0.3,0.3,32,0,0.8268145322799683,0.7561214566230774,0.75390625,0.8191532492637634,0.8173472881317139,0.8163155913352966,0.6355811953544617,0.8160748481750488,4632.0,4650.0,1494.0,1512.0,43.536916971206665,0.5112179517745972,0.5112179517745972,0.5112179517745972,0.5112179517745972,0.5112178921699524,0.5112179517745972,0.022435897961258888,0.5106330513954163,638.0,638.0,610.0,610.0,1.3018834590911865
7,MobileNetV3Small,128,0.3,0.3,32,0,0.8306451439857483,0.8162572383880615,0.6583440899848938,0.8252016305923462,0.8233410716056824,0.8232279419898987,0.6479657888412476,0.8071209192276001,4087.0,5288.0,920.0,2121.0,43.33604550361633,0.48637819290161133,0.4818461537361145,0.6274038553237915,0.3253205120563507,0.5440980792045593,0.46451666951179504,-0.05023999512195587,0.5164577960968018,783.0,406.0,842.0,465.0,1.1570515632629395
8,MobileNetV3Small,128,0.3,0.3,32,0,0.8114854097366333,0.7316401600837708,0.7742875814437866,0.8112824559211731,0.8039001822471619,0.8023363351821899,0.6110207438468933,0.7957077026367188,4782.0,4422.0,1754.0,1394.0,42.79232573509216,0.5101562738418579,0.5101562738418579,0.5101562738418579,0.5101562738418579,0.5101562142372131,0.5101562738418579,0.02031249925494194,0.578664243221283,653.0,653.0,627.0,627.0,1.1214582920074463
9,MobileNetV3Small,128,0.3,0.3,32,0,0.8385748267173767,0.7665338516235352,0.763007640838623,0.8332006335258484,0.829486072063446,0.8293353319168091,0.6611136198043823,0.7920854687690735,4810.0,4839.0,1465.0,1494.0,41.73569202423096,0.5261824131011963,0.5261824131011963,0.5261824131011963,0.5261824131011963,0.5261823534965515,0.5261824131011963,0.05236486345529556,0.6418519616127014,623.0,623.0,561.0,561.0,1.5616679191589355
10,MobileNetV3Small,128,0.3,0.3,32,4,0.9195195436477661,0.9191132187843323,0.9213213324546814,0.9155387282371521,0.9168270826339722,0.917858898639679,0.8336005806922913,0.974144458770752,4602.0,4590.0,405.0,393.0,62.852362394332886,0.556587815284729,0.5806451439857483,0.07601351290941238,0.9451013803482056,0.12866255640983582,0.5057398080825806,0.04659220203757286,0.5792367458343506,90.0,1119.0,65.0,1094.0,1.0044679641723633
11,MobileNetV3Small,128,0.3,0.3,32,0,0.8127042651176453,0.7484893202781677,0.7537828683853149,0.8092319965362549,0.8056145310401917,0.8054112792015076,0.6134301424026489,0.8422217965126038,4583.0,4540.0,1540.0,1497.0,38.40654492378235,0.5167682766914368,0.5167682766914368,0.5167682766914368,0.5167682766914368,0.516768217086792,0.5167682766914368,0.03353658691048622,0.5514830350875854,678.0,678.0,634.0,634.0,1.3910841941833496
12,MobileNetV3Small,128,0.3,0.3,32,0,0.8171672224998474,0.7435294389724731,0.7596153616905212,0.8090503215789795,0.8110319375991821,0.8128178715705872,0.6225600838661194,0.8224841356277466,4740.0,4605.0,1635.0,1500.0,36.7005774974823,0.5096153616905212,0.5096153616905212,0.5096153616905212,0.5096153616905212,0.5096153616905212,0.5096153616905212,0.01923076994717121,0.6059932708740234,636.0,636.0,612.0,612.0,1.6566650867462158
13,MobileNetV3Small,128,0.3,0.3,32,0,0.8066532015800476,0.7430600523948669,0.7416236996650696,0.8024193644523621,0.8008896708488464,0.8005316257476807,0.6028663516044617,0.7743169069290161,4604.0,4616.0,1592.0,1604.0,36.98484206199646,0.5057565569877625,0.5057565569877625,0.5057565569877625,0.5057565569877625,0.5057565569877625,0.5057565569877625,0.01151315774768591,0.5041453242301941,615.0,615.0,601.0,601.0,1.3390579223632812
14,MobileNetV3Small,128,0.3,0.3,32,0,0.8242436051368713,0.7569388747215271,0.7560897469520569,0.8180732727050781,0.8173776865005493,0.8170334100723267,0.635391116142273,0.7762888073921204,4718.0,4725.0,1515.0,1522.0,38.18966460227966,0.4890202581882477,0.4890202581882477,0.4890202581882477,0.4890202581882477,0.4890202283859253,0.4890202581882477,-0.0219594594091177,0.44404488801956177,579.0,579.0,605.0,605.0,1.332629680633545
