epoch,FN,FP,TN,TP,accuracy,auc,f1_score,loss,lr,mcc,npv,precision,recall,specificity,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_auc,val_f1_score,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity
0,448.0,448.0,5792.0,5792.0,0.9262820482254028,0.978260338306427,0.920953631401062,0.19814319908618927,0.01,0.8430956602096558,0.9221586585044861,0.928205132484436,0.928205132484436,0.9214743375778198,94.0,96.0,1120.0,1122.0,0.921875,0.9651403427124023,0.9222905039787292,0.2897459864616394,0.8438174724578857,0.9218918681144714,0.9211822748184204,0.9226973652839661,0.9210526347160339
1,190.0,174.0,4818.0,4802.0,0.9641426205635071,0.9933059215545654,0.9634335041046143,0.09944161772727966,0.01,0.927233874797821,0.9622908234596252,0.965032160282135,0.9619390964508057,0.9651442170143127,50.0,51.0,1165.0,1166.0,0.9580591917037964,0.9905214309692383,0.9584893584251404,0.11756917089223862,0.9169524312019348,0.9588550925254822,0.9580936431884766,0.9588815569877625,0.9580591917037964
2,123.0,127.0,4865.0,4869.0,0.9751602411270142,0.9967437386512756,0.974980354309082,0.07099539041519165,0.01,0.9499949812889099,0.9753922820091248,0.9745796918869019,0.9753605723381042,0.9745593070983887,56.0,54.0,1162.0,1160.0,0.9547697305679321,0.9880806803703308,0.9547566771507263,0.1364721804857254,0.9095643758773804,0.9539971351623535,0.9555189609527588,0.9539473652839661,0.9555920958518982
3,105.0,102.0,4890.0,4887.0,0.9793669581413269,0.9982671141624451,0.9792348146438599,0.051413338631391525,0.01,0.9586468935012817,0.9791389107704163,0.9795550107955933,0.9789663553237915,0.979567289352417,56.0,51.0,1165.0,1160.0,0.9555920958518982,0.989628791809082,0.9554917216300964,0.12977880239486694,0.9120567440986633,0.9549859762191772,0.9578860402107239,0.9539473652839661,0.9580591917037964
4,75.0,81.0,4911.0,4917.0,0.9845753312110901,0.9989816546440125,0.9843988418579102,0.04100814461708069,0.01,0.9688141942024231,0.984991729259491,0.9837934970855713,0.9849759340286255,0.9837740659713745,53.0,49.0,1167.0,1163.0,0.9597039222717285,0.9893174171447754,0.9579678773880005,0.13527733087539673,0.916164219379425,0.956638753414154,0.9595709443092346,0.9564144611358643,0.9597039222717285
5,90.0,80.0,4912.0,4902.0,0.9827724099159241,0.9986504316329956,0.9829421639442444,0.04422912374138832,0.01,0.9660370945930481,0.98211669921875,0.9839422106742859,0.9819711446762085,0.9839743375778198,52.0,51.0,1165.0,1164.0,0.9588815569877625,0.987468421459198,0.9575494527816772,0.13089804351329803,0.9153261780738831,0.9574595093727112,0.9580246806144714,0.9572368264198303,0.9580591917037964
6,46.0,44.0,4948.0,4946.0,0.9911859035491943,0.9991971850395203,0.9909631013870239,0.026632824912667274,0.01,0.9819942116737366,0.9908520579338074,0.9911823868751526,0.9907852411270142,0.9911859035491943,58.0,52.0,1164.0,1158.0,0.9547697305679321,0.9852102994918823,0.9544790983200073,0.16357116401195526,0.9096118807792664,0.9529373049736023,0.9570248126983643,0.9523026347160339,0.9572368264198303
7,54.0,51.0,4941.0,4938.0,0.9895833134651184,0.9988054037094116,0.9894841313362122,0.02939622476696968,0.01,0.979004979133606,0.9892178773880005,0.9897775053977966,0.989182710647583,0.9897836446762085,58.0,57.0,1159.0,1158.0,0.953125,0.9835481643676758,0.9526810646057129,0.17236417531967163,0.9054384827613831,0.952377438545227,0.9530864357948303,0.9523026347160339,0.953125
8,26.0,21.0,4971.0,4966.0,0.9953926205635071,0.9999330639839172,0.9952844381332397,0.011781939305365086,0.0009999999,0.9906061887741089,0.9948280453681946,0.9957890510559082,0.9947916865348816,0.9957932829856873,54.0,53.0,1163.0,1162.0,0.9555920958518982,0.9870700836181641,0.9559575319290161,0.1498757153749466,0.9120166301727295,0.9556918144226074,0.9563785791397095,0.9555920958518982,0.9564144611358643
9,6.0,5.0,4987.0,4986.0,0.9989984035491943,0.9999861717224121,0.9988934397697449,0.005791718605905771,0.0009999999,0.9977993369102478,0.9988102316856384,0.99899822473526,0.9987980723381042,0.9989984035491943,47.0,49.0,1167.0,1169.0,0.9613487124443054,0.9864697456359863,0.9606022238731384,0.15065546333789825,0.9210734963417053,0.9612159729003906,0.959770143032074,0.9613487124443054,0.9597039222717285
