folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
1,ResNet152,128,0.3,0.3,32,10,0.8992718458175659,0.8999797701835632,0.899069607257843,0.9002016186714172,0.8996567130088806,0.8992946743965149,0.7994179129600525,0.9598724246025085,4445.0,4450.0,494.0,499.0,528.4623444080353,0.9407894611358643,0.9399670958518982,0.9399670958518982,0.9399670958518982,0.9397449493408203,0.940415620803833,0.8799454569816589,0.9765547513961792,1143.0,1143.0,73.0,73.0,4.396141052246094
2,ResNet152,128,0.3,0.3,32,8,0.9051359295845032,0.9054816365242004,0.9049345254898071,0.9049679636955261,0.904661238193512,0.90440434217453,0.8093631863594055,0.9608131051063538,4493.0,4496.0,469.0,472.0,467.4325907230377,0.9259868264198303,0.9252259731292725,0.9259868264198303,0.9251644611358643,0.9255946278572083,0.92596036195755,0.8511629700660706,0.9693031907081604,1126.0,1125.0,91.0,90.0,4.408621788024902
3,ResNet152,128,0.3,0.3,32,20,0.9159782528877258,0.9159613251686096,0.9157767295837402,0.9164663553237915,0.9163640141487122,0.9162826538085938,0.8327459692955017,0.9705776572227478,4545.0,4546.0,417.0,418.0,860.2778868675232,0.9120065569877625,0.9120065569877625,0.9120065569877625,0.9120065569877625,0.9120064973831177,0.9120065569877625,0.8240131735801697,0.9589002132415771,1109.0,1109.0,107.0,107.0,4.4576802253723145
4,ResNet152,128,0.3,0.3,32,1,0.8020576238632202,0.8004956841468811,0.7975308895111084,0.8011924624443054,0.7986714839935303,0.7990507483482361,0.599025309085846,0.8689368367195129,3876.0,3894.0,966.0,984.0,234.7003152370453,0.8612805008888245,0.8615149259567261,0.8582317233085632,0.8620426654815674,0.8599013090133667,0.8587397933006287,0.7203194499015808,0.925977349281311,1126.0,1131.0,181.0,186.0,5.522253513336182
5,ResNet152,128,0.3,0.3,32,16,0.9146071672439575,0.9140216708183289,0.9142053723335266,0.9140860438346863,0.91419917345047,0.9142820835113525,0.8283962607383728,0.9688156843185425,4550.0,4549.0,428.0,427.0,725.2056210041046,0.9138513803482056,0.9138513803482056,0.9138513803482056,0.9138513803482056,0.9138765931129456,0.9138208627700806,0.8277249932289124,0.961885929107666,1082.0,1082.0,102.0,102.0,4.340756893157959
6,ResNet152,128,0.3,0.3,32,20,0.9145230054855347,0.9146909713745117,0.9143204092979431,0.9146057367324829,0.9143847823143005,0.9142451882362366,0.8288133144378662,0.9696972370147705,4514.0,4516.0,421.0,423.0,859.4566402435303,0.9278846383094788,0.9278846383094788,0.9278846383094788,0.9278846383094788,0.9278846383094788,0.9278846383094788,0.8557692170143127,0.9739392995834351,1158.0,1158.0,90.0,90.0,4.453981637954712
7,ResNet152,128,0.3,0.3,32,24,0.9311322569847107,0.9311322569847107,0.9311322569847107,0.930936336517334,0.9309452176094055,0.9309340119361877,0.8618892431259155,0.9776068925857544,4597.0,4597.0,340.0,340.0,986.1704652309418,0.9142628312110901,0.9142628312110901,0.9142628312110901,0.9142628312110901,0.9142628312110901,0.9142628312110901,0.8285256624221802,0.9648035764694214,1141.0,1141.0,107.0,107.0,4.534780025482178
8,ResNet152,128,0.3,0.3,32,16,0.914460301399231,0.9145125150680542,0.9150713086128235,0.9145118594169617,0.9148438572883606,0.9150983095169067,0.8296701908111572,0.9685767292976379,4493.0,4490.0,420.0,417.0,722.6636090278625,0.9195312261581421,0.9195312261581421,0.9195312261581421,0.9195312261581421,0.9195312261581421,0.9195312261581421,0.839062511920929,0.9684621691703796,1177.0,1177.0,103.0,103.0,4.509385824203491
9,ResNet152,128,0.3,0.3,32,22,0.9149659872055054,0.9151830077171326,0.9153661727905273,0.9156050682067871,0.9157352447509766,0.9157649874687195,0.8314353823661804,0.9731199145317078,4575.0,4574.0,424.0,423.0,927.0625793933868,0.9391891956329346,0.9391891956329346,0.9391891956329346,0.9391891956329346,0.9391891956329346,0.9391891956329346,0.8783783912658691,0.9780329465866089,1112.0,1112.0,72.0,72.0,4.403578281402588
10,ResNet152,128,0.3,0.3,32,6,0.8734734654426575,0.8737727999687195,0.8730731010437012,0.8746019005775452,0.8741575479507446,0.8739195466041565,0.7484342455863953,0.9442815184593201,4361.0,4365.0,630.0,634.0,403.36011481285095,0.8994932174682617,0.9002535939216614,0.8994932174682617,0.900337815284729,0.8998281359672546,0.89969801902771,0.7998644709587097,0.9643800854682922,1065.0,1066.0,118.0,119.0,4.286142110824585
