epoch,FN,FP,TN,TP,accuracy,auc,f1_score,loss,lr,mcc,npv,precision,recall,specificity,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_auc,val_f1_score,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity
0,1329.0,1354.0,4822.0,4847.0,0.7554435729980469,0.8594592809677124,0.7498327493667603,0.5344343185424805,0.01,0.49887922406196594,0.7505441308021545,0.7816480994224548,0.7848121523857117,0.7463709712028503,640.0,640.0,608.0,608.0,0.4871794879436493,0.49747997522354126,0.4871794283390045,3.412773609161377,-0.025641025975346565,0.4871794879436493,0.4871794879436493,0.4871794879436493,0.4871794879436493
1,695.0,697.0,4243.0,4245.0,0.8597165942192078,0.9261599183082581,0.857969343662262,0.3453867435455322,0.01,0.716090977191925,0.8583271503448486,0.8589639663696289,0.8593117594718933,0.8577956557273865,639.0,639.0,609.0,609.0,0.48798078298568726,0.4912802577018738,0.4879807233810425,4.182857990264893,-0.024038461968302727,0.48798078298568726,0.48798078298568726,0.48798078298568726,0.48798078298568726
2,605.0,596.0,4344.0,4335.0,0.8781376481056213,0.947654664516449,0.8774255514144897,0.29265114665031433,0.01,0.755249559879303,0.8770652413368225,0.8791320323944092,0.8775303363800049,0.8784946799278259,632.0,632.0,616.0,616.0,0.49358972907066345,0.4950869679450989,0.49358969926834106,4.687261581420898,-0.012820512987673283,0.49358972907066345,0.49358972907066345,0.49358972907066345,0.49358972907066345
3,553.0,550.0,4390.0,4387.0,0.8888664245605469,0.9513431191444397,0.8884066939353943,0.2809752821922302,0.01,0.7769903540611267,0.8883424997329712,0.8885962963104248,0.8880566954612732,0.8887768983840942,636.0,636.0,612.0,612.0,0.49038460850715637,0.4949970841407776,0.490384578704834,4.697243690490723,-0.01923076994717121,0.49038460850715637,0.49038460850715637,0.49038460850715637,0.49038460850715637
4,561.0,555.0,4385.0,4379.0,0.8872469663619995,0.9531181454658508,0.887086808681488,0.27608734369277954,0.01,0.7743856906890869,0.8867608904838562,0.8875151872634888,0.8864372372627258,0.8877688646316528,640.0,640.0,608.0,608.0,0.4871794879436493,0.45163899660110474,0.4871794283390045,3.942472457885742,-0.025641025975346565,0.4871794879436493,0.4871794879436493,0.4871794879436493,0.4871794879436493
5,489.0,482.0,4458.0,4451.0,0.9018218517303467,0.9615073800086975,0.901381254196167,0.2492418736219406,0.01,0.8029224276542664,0.900894045829773,0.9022907018661499,0.901012122631073,0.9021506309509277,426.0,424.0,824.0,822.0,0.6586538553237915,0.7741309404373169,0.6591879725456238,1.3409525156021118,0.3189188539981842,0.6591879725456238,0.6597110629081726,0.6586538553237915,0.6602563858032227
6,462.0,462.0,4478.0,4478.0,0.9060728549957275,0.9625698328018188,0.9068712592124939,0.24544019997119904,0.01,0.8137437105178833,0.9068511128425598,0.9064777493476868,0.9064777493476868,0.9068548679351807,608.0,608.0,640.0,640.0,0.5128205418586731,0.5128204822540283,0.5128204822540283,3.7001233100891113,0.025641025975346565,0.5128205418586731,0.5128205418586731,0.5128205418586731,0.5128205418586731
7,487.0,485.0,4455.0,4453.0,0.901214599609375,0.9626361727714539,0.901968777179718,0.24595971405506134,0.01,0.8040698766708374,0.9019402265548706,0.9017820954322815,0.9014170169830322,0.9022177457809448,506.0,506.0,742.0,742.0,0.5945512652397156,0.7494636178016663,0.5945512056350708,1.4827113151550293,0.18910256028175354,0.5945512652397156,0.5945512652397156,0.5945512652397156,0.5945512652397156
8,449.0,457.0,4483.0,4491.0,0.9085020422935486,0.9655674695968628,0.9087672829627991,0.23597069084644318,0.01,0.8173829913139343,0.9093189835548401,0.9076394438743591,0.9091092944145203,0.9078629016876221,620.0,620.0,628.0,628.0,0.5032051205635071,0.5831901431083679,0.5032050609588623,2.865818738937378,0.006410256493836641,0.5032051205635071,0.5032051205635071,0.5032051205635071,0.5032051205635071
9,427.0,427.0,4513.0,4513.0,0.9131578803062439,0.9690986275672913,0.9125773906707764,0.22355800867080688,0.0009999999,0.825175404548645,0.9125828742980957,0.9135627746582031,0.9135627746582031,0.912567138671875,83.0,82.0,1166.0,1165.0,0.9342948794364929,0.9847804307937622,0.9338369369506836,0.17224793136119843,0.8677974343299866,0.93361496925354,0.9342421889305115,0.9334936141967773,0.9342948794364929
10,419.0,415.0,4525.0,4521.0,0.9155870676040649,0.9729583263397217,0.9148766398429871,0.210074782371521,0.0009999999,0.8298696279525757,0.9146287441253662,0.9159238338470459,0.9151821732521057,0.9153226017951965,168.0,168.0,1080.0,1080.0,0.8653846383094788,0.9451467990875244,0.8653845191001892,0.3214445114135742,0.7307692170143127,0.8653846383094788,0.8653846383094788,0.8653846383094788,0.8653846383094788
11,369.0,370.0,4570.0,4571.0,0.9248988032341003,0.9758478999137878,0.9251633286476135,0.19718311727046967,0.0009999999,0.8503837585449219,0.9253195524215698,0.9251163601875305,0.9253036379814148,0.9250672459602356,253.0,252.0,996.0,995.0,0.7972756624221802,0.9044285416603088,0.7975172400474548,0.4828672707080841,0.5953553318977356,0.7975912690162659,0.797914981842041,0.7972756624221802,0.7980769276618958
12,373.0,367.0,4573.0,4567.0,0.9251012206077576,0.9761857390403748,0.9246845841407776,0.19648206233978271,0.0009999999,0.8495035767555237,0.9242551922798157,0.9256181716918945,0.9244939088821411,0.9253360033035278,272.0,268.0,980.0,976.0,0.7828525900840759,0.8938050866127014,0.783271312713623,0.45643067359924316,0.5673554539680481,0.7828494310379028,0.7845659255981445,0.7820512652397156,0.7852563858032227
13,352.0,350.0,4590.0,4588.0,0.928744912147522,0.9778006672859192,0.9285550117492676,0.18923421204090118,9.999999e-05,0.8571345210075378,0.9283834099769592,0.9291210770606995,0.928744912147522,0.9287633895874023,77.0,77.0,1171.0,1171.0,0.9383012652397156,0.9859727621078491,0.9383012056350708,0.1556086242198944,0.8766025900840759,0.9383012652397156,0.9383012652397156,0.9383012652397156,0.9383012652397156
14,393.0,393.0,4547.0,4547.0,0.9208502173423767,0.977279007434845,0.9207485914230347,0.1928565353155136,9.999999e-05,0.8415631651878357,0.920828640460968,0.9204453229904175,0.9204453229904175,0.9207661151885986,95.0,95.0,1153.0,1153.0,0.9230769276618958,0.978424072265625,0.9238894581794739,0.18908698856830597,0.8477767705917358,0.9238734841346741,0.9238781929016113,0.9238781929016113,0.9238781929016113
15,363.0,357.0,4583.0,4577.0,0.9269230961799622,0.9781801104545593,0.9270411133766174,0.1879177689552307,9.999999e-05,0.8541936278343201,0.9265868067741394,0.9276449084281921,0.9265182018280029,0.9276881814002991,72.0,71.0,1177.0,1176.0,0.9431089758872986,0.9870414733886719,0.942651093006134,0.15166020393371582,0.8854256868362427,0.9424290657043457,0.9430633783340454,0.942307710647583,0.9431089758872986
16,369.0,364.0,4576.0,4571.0,0.9257084727287292,0.9770148992538452,0.9250146746635437,0.19274422526359558,9.999999e-05,0.8502389192581177,0.9248003363609314,0.9262411594390869,0.9253036379814148,0.9256048202514648,71.0,70.0,1178.0,1177.0,0.9431089758872986,0.9868922233581543,0.9434905648231506,0.151871457695961,0.8870306015014648,0.9431574940681458,0.9438652992248535,0.9431089758872986,0.9439102411270142
17,357.0,354.0,4586.0,4583.0,0.9285424947738647,0.9776135087013245,0.927949845790863,0.19038312137126923,9.999999e-05,0.8559979796409607,0.9277836084365845,0.9282965660095215,0.9277327656745911,0.9282930493354797,84.0,84.0,1164.0,1164.0,0.932692289352417,0.9850214719772339,0.9326922297477722,0.15910880267620087,0.8653846383094788,0.932692289352417,0.932692289352417,0.932692289352417,0.932692289352417
18,357.0,357.0,4583.0,4583.0,0.9275303483009338,0.9768639802932739,0.9276906847953796,0.19318455457687378,9.999999e-05,0.8553928732872009,0.9276983737945557,0.9277327656745911,0.9277327656745911,0.9276881217956543,79.0,78.0,1170.0,1169.0,0.9375,0.9866347312927246,0.9370802044868469,0.15236257016658783,0.8742100596427917,0.9367472529411316,0.9374498724937439,0.9366987347602844,0.9375
19,365.0,366.0,4574.0,4575.0,0.9263157844543457,0.9774690866470337,0.9263233542442322,0.19090686738491058,9.999999e-06,0.8526380062103271,0.9264000654220581,0.9259259104728699,0.9261133670806885,0.9262096881866455,72.0,71.0,1177.0,1176.0,0.9431089758872986,0.9871010780334473,0.9426765441894531,0.15029318630695343,0.8854272365570068,0.9423805475234985,0.9430633783340454,0.942307710647583,0.9431089758872986
20,351.0,350.0,4590.0,4589.0,0.9293522238731384,0.9777728915214539,0.9286405444145203,0.18918152153491974,9.999999e-06,0.8573598265647888,0.9286373257637024,0.9291354417800903,0.928947389125824,0.9287635087966919,76.0,75.0,1173.0,1172.0,0.9391025900840759,0.9868548512458801,0.9394331574440002,0.15141606330871582,0.8790146112442017,0.9392483234405518,0.9398556351661682,0.9391025900840759,0.9399038553237915
