folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
1,ResNet50V2,128,0.3,0.3,32,1,0.9660193920135498,0.9645892381668091,0.9641990065574646,0.9647177457809448,0.9643877744674683,0.9643172025680542,0.9289888739585876,0.993861973285675,4767.0,4769.0,175.0,177.0,95.44976830482483,0.9720394611358643,0.9704433679580688,0.9720394611358643,0.9703947305679321,0.9712297320365906,0.9720394611358643,0.9424591064453125,0.9892358779907227,1182.0,1180.0,36.0,34.0,1.9492502212524414
2,ResNet50V2,128,0.3,0.3,32,4,0.9867069721221924,0.9865082502365112,0.9867069721221924,0.9865785241127014,0.9866663813591003,0.9868671894073486,0.9734241962432861,0.9987872838973999,4899.0,4898.0,67.0,66.0,134.1210334300995,0.9728618264198303,0.9728618264198303,0.9728618264198303,0.9728618264198303,0.972936749458313,0.9727243185043335,0.9457405209541321,0.990424633026123,1183.0,1183.0,33.0,33.0,1.720280647277832
3,ResNet50V2,128,0.3,0.3,32,2,0.9760225415229797,0.975452721118927,0.9768285155296326,0.9755609035491943,0.9762955904006958,0.9769934415817261,0.9526240825653076,0.9972410798072815,4848.0,4841.0,122.0,115.0,108.67397332191467,0.9621710777282715,0.9621710777282715,0.9621710777282715,0.9621710777282715,0.962131679058075,0.9622707366943359,0.9243645668029785,0.9905214309692383,1170.0,1170.0,46.0,46.0,1.7273271083831787
4,ResNet50V2,128,0.3,0.3,32,6,0.9882715940475464,0.9882715940475464,0.9882715940475464,0.9882519245147705,0.9882515072822571,0.9882954955101013,0.9765468239784241,0.9993565082550049,4803.0,4803.0,57.0,57.0,158.66466522216797,0.9710366129875183,0.9710806608200073,0.9725610017776489,0.9710366129875183,0.9718456864356995,0.972487211227417,0.9436184167861938,0.986339807510376,1276.0,1274.0,38.0,36.0,1.825681209564209
5,ResNet50V2,128,0.3,0.3,32,1,0.9648382663726807,0.9649758338928223,0.9632308483123779,0.9649674892425537,0.9640133380889893,0.9634169340133667,0.9282882809638977,0.99379563331604,4794.0,4803.0,174.0,183.0,94.77557277679443,0.9552364945411682,0.9543918967247009,0.9543918967247009,0.9543918967247009,0.9543916583061218,0.9544174671173096,0.9088093638420105,0.9825219511985779,1130.0,1130.0,54.0,54.0,1.771435022354126
6,ResNet50V2,128,0.3,0.3,32,8,0.9959489703178406,0.9955447316169739,0.9957464337348938,0.995049238204956,0.9954264163970947,0.9957783222198486,0.9908633232116699,0.9999296069145203,4916.0,4915.0,22.0,21.0,185.81078147888184,0.9791666865348816,0.9783827066421509,0.9791666865348816,0.9783653616905212,0.9787721633911133,0.9791666865348816,0.957544207572937,0.9965589046478271,1222.0,1221.0,27.0,26.0,1.4560809135437012
7,ResNet50V2,128,0.3,0.3,32,1,0.9651610255241394,0.9649513959884644,0.9647559523582458,0.9651209712028503,0.9650399684906006,0.9650049805641174,0.9301730394363403,0.993980884552002,4763.0,4764.0,173.0,174.0,93.49597072601318,0.9575320482254028,0.9582999348640442,0.9575320482254028,0.9583333134651184,0.9577609300613403,0.9578720331192017,0.9158673286437988,0.9873424172401428,1195.0,1196.0,52.0,53.0,1.4501185417175293
8,ResNet50V2,128,0.3,0.3,32,2,0.9733197689056396,0.9723014235496521,0.9723014235496521,0.972141683101654,0.9719849824905396,0.9720357656478882,0.9441324472427368,0.9962815046310425,4774.0,4774.0,136.0,136.0,106.68193674087524,0.977343738079071,0.9781249761581421,0.9781249761581421,0.9781249761581421,0.9781123995780945,0.9781723022460938,0.9562729001045227,0.9968960285186768,1252.0,1252.0,28.0,28.0,1.4723684787750244
9,ResNet50V2,128,0.3,0.3,32,6,0.9895958304405212,0.9901843070983887,0.9889956116676331,0.9902468323707581,0.9896336197853088,0.9891127943992615,0.9793291091918945,0.9993541240692139,4943.0,4949.0,49.0,55.0,159.1903157234192,0.9763513803482056,0.976331353187561,0.9755067825317383,0.9763513803482056,0.9759223461151123,0.9755323529243469,0.9518709182739258,0.9902403950691223,1155.0,1156.0,28.0,29.0,1.6533112525939941
10,ResNet50V2,128,0.3,0.3,32,2,0.9725725650787354,0.971771776676178,0.971771776676178,0.9719347357749939,0.9719475507736206,0.9719924330711365,0.9439583420753479,0.99542635679245,4854.0,4854.0,141.0,141.0,107.45073461532593,0.9763513803482056,0.9747048616409302,0.9763513803482056,0.974662184715271,0.9755197763442993,0.9763513803482056,0.9510390758514404,0.9935235381126404,1156.0,1154.0,30.0,28.0,1.4040281772613525
11,ResNet50V2,128,0.3,0.3,32,8,0.9946677684783936,0.9940610527992249,0.9954881072044373,0.9940767884254456,0.9947994351387024,0.9955189228057861,0.9896109700202942,0.9998787641525269,4854.0,4847.0,29.0,22.0,198.08625721931458,0.9725610017776489,0.9717987775802612,0.9717987775802612,0.9717987775802612,0.9719861745834351,0.9714284539222717,0.9436087012290955,0.9950330257415771,1275.0,1275.0,37.0,37.0,2.485098361968994
