epoch,FN,FP,TN,TP,accuracy,auc,f1_score,loss,lr,mcc,npv,precision,recall,specificity,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_auc,val_f1_score,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity
0,550.0,561.0,5615.0,5626.0,0.9016426205635071,0.9670157432556152,0.8988708257675171,0.25637534260749817,0.01,0.7980182766914368,0.9002770781517029,0.9093260169029236,0.9109455943107605,0.8978365659713745,574.0,559.0,625.0,610.0,0.5211148858070374,0.7182838916778564,0.5187985897064209,1.58062744140625,0.0431177094578743,0.5206150412559509,0.5218135118484497,0.5152027010917664,0.5278716087341309
1,369.0,365.0,4614.0,4610.0,0.9264912605285645,0.9734708070755005,0.926022469997406,0.2043696492910385,0.01,0.8521735072135925,0.9257951378822327,0.9266331791877747,0.92588871717453,0.9264718294143677,426.0,324.0,860.0,758.0,0.6773648858070374,0.8148240447044373,0.6685599684715271,0.585163414478302,0.36838972568511963,0.6693357229232788,0.7005545496940613,0.6402027010917664,0.7263513803482056
2,313.0,309.0,4670.0,4666.0,0.937336802482605,0.9810431599617004,0.9374754428863525,0.1695297360420227,0.01,0.8750219345092773,0.9370933175086975,0.9378894567489624,0.9371359944343567,0.9379639029502869,579.0,579.0,605.0,605.0,0.5109797120094299,0.6088032722473145,0.5109796524047852,2.7639942169189453,0.0219594594091177,0.5109797120094299,0.5109797120094299,0.5109797120094299,0.5109797120094299
3,283.0,284.0,4695.0,4696.0,0.9435629844665527,0.9818247556686401,0.9431910514831543,0.164237841963768,0.01,0.8864306807518005,0.9433563351631165,0.9429718852043152,0.9431612491607666,0.9431089758872986,88.0,93.0,1091.0,1096.0,0.9248310923576355,0.968941867351532,0.9237642884254456,0.23479963839054108,0.8472031950950623,0.9253451228141785,0.9217830300331116,0.9256756901741028,0.9214527010917664
4,234.0,236.0,4743.0,4745.0,0.9534043073654175,0.9856054186820984,0.9528148174285889,0.14467260241508484,0.01,0.905602753162384,0.9529592990875244,0.9526199698448181,0.9530026316642761,0.9525873064994812,553.0,555.0,629.0,631.0,0.53125,0.7568423748016357,0.5324843525886536,1.1039607524871826,0.06419084221124649,0.532149076461792,0.5320404767990112,0.5329391956329346,0.53125
5,237.0,233.0,4746.0,4742.0,0.95260089635849,0.9884573817253113,0.9529021978378296,0.13092182576656342,0.01,0.9058657884597778,0.952583909034729,0.9531658291816711,0.9524000883102417,0.9533253312110901,182.0,192.0,992.0,1002.0,0.8429054021835327,0.9354954957962036,0.8426064848899841,0.3128668963909149,0.6842190027236938,0.8452757000923157,0.839195966720581,0.8462837934494019,0.837837815284729
6,209.0,209.0,4770.0,4770.0,0.957822859287262,0.9896743893623352,0.9579988121986389,0.12004183232784271,0.01,0.916003406047821,0.9580012559890747,0.958023726940155,0.958023726940155,0.9579959511756897,217.0,221.0,963.0,967.0,0.8150337934494019,0.90687096118927,0.8153692483901978,0.4247581362724304,0.6301155090332031,0.8160872459411621,0.813973069190979,0.8167229890823364,0.8133445978164673
7,173.0,171.0,4808.0,4806.0,0.9656557440757751,0.99269700050354,0.9652577638626099,0.1028805747628212,0.0009999999,0.9305522441864014,0.9651060700416565,0.965641975402832,0.9652540683746338,0.9654711484909058,51.0,51.0,1133.0,1133.0,0.9569256901741028,0.9891722202301025,0.9569256901741028,0.1263534426689148,0.9138513803482056,0.9569256901741028,0.9569256901741028,0.9569256901741028,0.9569256901741028
8,179.0,179.0,4800.0,4800.0,0.964249849319458,0.9938247799873352,0.9640052914619446,0.09514140337705612,0.0009999999,0.9280229210853577,0.9640173316001892,0.9640489816665649,0.9640489816665649,0.9640055894851685,37.0,37.0,1147.0,1147.0,0.96875,0.993347704410553,0.96875,0.10061297565698624,0.9375,0.96875,0.96875,0.96875,0.96875
9,155.0,151.0,4828.0,4824.0,0.9692709445953369,0.9955893158912659,0.9693318605422974,0.08314276486635208,0.0009999999,0.9387132525444031,0.9689988493919373,0.9696482419967651,0.9688692688941956,0.9697515964508057,29.0,29.0,1155.0,1155.0,0.9755067825317383,0.9959895014762878,0.9755067825317383,0.07537420839071274,0.9510135054588318,0.9755067825317383,0.9755067825317383,0.9755067825317383,0.9755067825317383
10,152.0,148.0,4831.0,4827.0,0.9698734879493713,0.9953358769416809,0.9699261784553528,0.08380382508039474,0.0009999999,0.9399200677871704,0.9696171879768372,0.9702512621879578,0.9694717526435852,0.9703525900840759,24.0,23.0,1161.0,1160.0,0.9805743098258972,0.995959997177124,0.9801453351974487,0.0699441209435463,0.9603168368339539,0.9797552824020386,0.980557918548584,0.9797297120094299,0.9805743098258972
11,146.0,144.0,4835.0,4833.0,0.970676839351654,0.9956643581390381,0.9709437489509583,0.08066470175981522,0.0009999999,0.9419183731079102,0.9707831144332886,0.9710668921470642,0.970676839351654,0.9711538553237915,23.0,22.0,1162.0,1161.0,0.9805743098258972,0.9957541823387146,0.9809765219688416,0.06936132162809372,0.9620051980018616,0.9806254506111145,0.9814032316207886,0.9805743098258972,0.9814189076423645
12,144.0,143.0,4836.0,4835.0,0.9714801907539368,0.9960715770721436,0.9712585210800171,0.07968210428953171,0.0009999999,0.9425167441368103,0.9711530804634094,0.9712736010551453,0.9710785150527954,0.9713541865348816,32.0,32.0,1152.0,1152.0,0.9729729890823364,0.9962546825408936,0.9729729890823364,0.07343538850545883,0.9459459185600281,0.9729729890823364,0.9729729890823364,0.9729729890823364,0.9729729890823364
13,120.0,120.0,4859.0,4859.0,0.975697934627533,0.9969697594642639,0.9759674072265625,0.06873489916324615,0.0009999999,0.9519404768943787,0.9759664535522461,0.975898802280426,0.975898802280426,0.9759615659713745,37.0,37.0,1147.0,1147.0,0.96875,0.9927638173103333,0.96875,0.09812328964471817,0.9375,0.96875,0.96875,0.96875,0.96875
14,120.0,119.0,4860.0,4859.0,0.9760996103286743,0.9966100454330444,0.9759198427200317,0.0705634132027626,9.999999e-05,0.9518520832061768,0.9758366346359253,0.9760948419570923,0.975898802280426,0.9760248064994812,30.0,30.0,1154.0,1154.0,0.974662184715271,0.9959055185317993,0.974662184715271,0.07157613337039948,0.9493243098258972,0.974662184715271,0.974662184715271,0.974662184715271,0.974662184715271
15,108.0,109.0,4870.0,4871.0,0.9781080484390259,0.9974424839019775,0.9782667756080627,0.06294883042573929,9.999999e-05,0.9565334916114807,0.9783653616905212,0.9781124591827393,0.978308916091919,0.9781650900840759,28.0,28.0,1156.0,1156.0,0.9763513803482056,0.9951688647270203,0.9763513803482056,0.0711481124162674,0.9527027010917664,0.9763513803482056,0.9763513803482056,0.9763513803482056,0.9763513803482056
