epoch,FN,FP,TN,TP,accuracy,auc,f1_score,loss,lr,mcc,npv,precision,recall,specificity,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_auc,val_f1_score,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity
0,427.0,455.0,5817.0,5845.0,0.9244462251663208,0.9792006015777588,0.9193683862686157,0.20169498026371002,0.01,0.8381004929542542,0.9209753274917603,0.9277777671813965,0.9319196343421936,0.9161392450332642,55.0,51.0,1101.0,1097.0,0.9548611044883728,0.9906875491142273,0.9534618854522705,0.12814229726791382,0.9080064296722412,0.953307569026947,0.9555749297142029,0.9522569179534912,0.9557291865348816
1,128.0,116.0,4915.0,4903.0,0.9755516052246094,0.9962903261184692,0.9757810235023499,0.07136581093072891,0.01,0.9518166184425354,0.9749301671981812,0.9768878221511841,0.9745577573776245,0.9770569801330566,41.0,44.0,1108.0,1111.0,0.9635416865348816,0.9905316829681396,0.9634566903114319,0.115472711622715,0.9262402653694153,0.9637171626091003,0.961904764175415,0.9644097089767456,0.9618055820465088
2,69.0,62.0,4969.0,4962.0,0.9868813157081604,0.9990058541297913,0.9870209693908691,0.04004364088177681,0.01,0.974132776260376,0.9864411354064941,0.987659215927124,0.9862850308418274,0.9877373576164246,50.0,50.0,1102.0,1102.0,0.9574652910232544,0.9876604080200195,0.9565556049346924,0.13441750407218933,0.9132182002067566,0.956702470779419,0.9565972089767456,0.9565972089767456,0.9565972089767456
3,30.0,31.0,5000.0,5001.0,0.9938381910324097,0.9998340606689453,0.9939563870429993,0.017351781949400902,0.01,0.9879553318023682,0.9941083788871765,0.99383944272995,0.9940369725227356,0.9938686490058899,42.0,40.0,1112.0,1110.0,0.9644097089767456,0.9876246452331543,0.9645146131515503,0.14680592715740204,0.928859293460846,0.9633634090423584,0.9652174115180969,0.9635416865348816,0.9652777910232544
4,9.0,10.0,5021.0,5022.0,0.9982110857963562,0.9999682903289795,0.9981225728988647,0.008470067754387856,0.01,0.9962450861930847,0.998219907283783,0.9980127215385437,0.9982110857963562,0.9980221390724182,53.0,53.0,1099.0,1099.0,0.9539930820465088,0.9833091497421265,0.9539930820465088,0.19461756944656372,0.9079861044883728,0.9539930820465088,0.9539930820465088,0.9539930820465088,0.9539930820465088
5,15.0,14.0,5017.0,5016.0,0.9970184564590454,0.9997488856315613,0.9971305727958679,0.010021203197538853,0.01,0.9942672252655029,0.9970391988754272,0.9972167015075684,0.9970184564590454,0.9972310066223145,43.0,43.0,1109.0,1109.0,0.9626736044883728,0.9786933660507202,0.9626736044883728,0.21702702343463898,0.9253472089767456,0.9626736044883728,0.9626736044883728,0.9626736044883728,0.9626736044883728
6,3.0,4.0,5027.0,5028.0,0.9992049336433411,0.9999980330467224,0.9993093013763428,0.003524119034409523,0.01,0.998618483543396,0.999406635761261,0.9992051124572754,0.999403715133667,0.9992088675498962,38.0,39.0,1113.0,1114.0,0.9670138955116272,0.9829991459846497,0.9667869210243225,0.19514049589633942,0.933160126209259,0.966593861579895,0.9661751985549927,0.9670138955116272,0.9661458134651184
7,4.0,3.0,5028.0,5027.0,0.999403715133667,0.9999949336051941,0.9993062019348145,0.003937270492315292,0.01,0.998618483543396,0.9992148280143738,0.9994035959243774,0.9992049336433411,0.999406635761261,44.0,44.0,1108.0,1108.0,0.9618055820465088,0.983206570148468,0.9618053436279297,0.19759900867938995,0.9236373901367188,0.96183180809021,0.9618055820465088,0.9618055820465088,0.9618055820465088
8,1.0,1.0,5030.0,5030.0,0.9998012185096741,0.9999993443489075,0.9998022317886353,0.0021360681857913733,0.01,0.9996044039726257,0.9998022317886353,0.9998012185096741,0.9998012185096741,0.9998022317886353,40.0,41.0,1111.0,1112.0,0.9652777910232544,0.977785050868988,0.9648637771606445,0.2469823956489563,0.9296997785568237,0.96524977684021,0.9644405841827393,0.9652777910232544,0.9644097089767456
9,0.0,0.0,5031.0,5031.0,1.0,1.0,1.0,0.0008223560289479792,0.01,1.0,1.0,1.0,1.0,1.0,39.0,39.0,1113.0,1113.0,0.9661458134651184,0.9806303381919861,0.9661458134651184,0.23140168190002441,0.9322916865348816,0.9661458134651184,0.9661458134651184,0.9661458134651184,0.9661458134651184
10,3.0,2.0,5029.0,5028.0,0.9996024370193481,0.9999994039535522,0.9995039701461792,0.0016225556610152125,0.0009999999,0.9990140795707703,0.9994126558303833,0.9996023774147034,0.999403715133667,0.9996044039726257,38.0,38.0,1114.0,1114.0,0.9670138955116272,0.9811341762542725,0.9670138955116272,0.23594406247138977,0.9340277910232544,0.9670138955116272,0.9670138955116272,0.9670138955116272,0.9670138955116272
11,1.0,0.0,5031.0,5030.0,1.0,1.0,0.9998995661735535,0.0007809766684658825,0.0009999999,0.999805212020874,0.9998081922531128,1.0,0.9998012185096741,1.0,40.0,39.0,1113.0,1112.0,0.9661458134651184,0.980831503868103,0.9657121300697327,0.23514503240585327,0.9314384460449219,0.9652786254882812,0.9661164283752441,0.9652777910232544,0.9661458134651184
